,Airspace id,Fullname,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
161,355,"House 1, Floor 1, Room 1",2020-12-21,green,,blue,
162,355,"House 1, Floor 1, Room 1",2020-12-22,green,,blue,
163,355,"House 1, Floor 1, Room 1",2020-12-23,green,,blue,
164,355,"House 1, Floor 1, Room 1",2020-12-24,blue,,blue,
165,355,"House 1, Floor 1, Room 1",2020-12-25,blue,,blue,
166,355,"House 1, Floor 1, Room 1",2020-12-26,blue,,blue,
167,355,"House 1, Floor 1, Room 1",2020-12-27,blue,,blue,
168,355,"House 1, Floor 1, Room 1",2020-12-28,blue,,blue,
169,355,"House 1, Floor 1, Room 1",2020-12-29,blue,,blue,
170,355,"House 1, Floor 1, Room 1",2020-12-30,blue,,blue,
171,355,"House 1, Floor 1, Room 1",2020-12-31,blue,,blue,
172,355,"House 1, Floor 1, Room 1",2021-01-01,blue,,blue,
173,355,"House 1, Floor 1, Room 1",2021-01-02,blue,,blue,
174,355,"House 1, Floor 1, Room 1",2021-01-03,blue,,blue,
175,355,"House 1, Floor 1, Room 1",2021-01-04,blue,,blue,
0,355,"House 1, Floor 1, Room 1",2021-01-05,green,13.95,green,
1,355,"House 1, Floor 1, Room 1",2021-01-06,green,13.85,green,97.0
2,355,"House 1, Floor 1, Room 1",2021-01-07,red,16.74,green,97.0
3,355,"House 1, Floor 1, Room 1",2021-01-08,green,29.57,green,98.0
4,355,"House 1, Floor 1, Room 1",2021-01-09,green,30.33,yellow,82.0
5,355,"House 1, Floor 1, Room 1",2021-01-10,yellow,30.75,green,52.0
6,355,"House 1, Floor 1, Room 1",2021-01-11,green,30.18,green,79.0
7,355,"House 1, Floor 1, Room 1",2021-01-12,green,29.74,green,95.0
8,355,"House 1, Floor 1, Room 1",2021-01-13,green,29.81,green,91.0
9,355,"House 1, Floor 1, Room 1",2021-01-14,green,29.81,green,92.0
10,355,"House 1, Floor 1, Room 1",2021-01-15,green,29.85,green,97.0
11,355,"House 1, Floor 1, Room 1",2021-01-16,green,29.95,green,97.0
12,355,"House 1, Floor 1, Room 1",2021-01-17,green,30.11,green,99.0
13,355,"House 1, Floor 1, Room 1",2021-01-18,green,29.87,green,97.0
14,355,"House 1, Floor 1, Room 1",2021-01-19,green,29.92,green,98.0
15,355,"House 1, Floor 1, Room 1",2021-01-20,green,30.03,green,96.0
16,355,"House 1, Floor 1, Room 1",2021-01-21,yellow,29.39,green,98.0
17,355,"House 1, Floor 1, Room 1",2021-01-22,green,29.87,green,98.0
18,355,"House 1, Floor 1, Room 1",2021-01-23,green,29.4,green,98.0
19,355,"House 1, Floor 1, Room 1",2021-01-24,yellow,28.13,green,96.0
20,355,"House 1, Floor 1, Room 1",2021-01-25,green,26.83,green,97.0
21,355,"House 1, Floor 1, Room 1",2021-01-26,yellow,27.17,green,97.0
22,355,"House 1, Floor 1, Room 1",2021-01-27,green,28.08,green,96.0
23,355,"House 1, Floor 1, Room 1",2021-01-28,green,27.81,green,99.0
24,355,"House 1, Floor 1, Room 1",2021-01-29,green,27.36,green,98.0
25,355,"House 1, Floor 1, Room 1",2021-01-30,green,26.61,green,99.0
26,355,"House 1, Floor 1, Room 1",2021-01-31,green,26.19,green,95.0
27,355,"House 1, Floor 1, Room 1",2021-02-01,green,26.04,green,98.0
28,355,"House 1, Floor 1, Room 1",2021-02-02,green,25.97,green,98.0
29,355,"House 1, Floor 1, Room 1",2021-02-03,green,25.68,green,98.0
30,355,"House 1, Floor 1, Room 1",2021-02-04,green,25.15,green,99.0
31,355,"House 1, Floor 1, Room 1",2021-02-05,green,25.95,green,99.0
32,355,"House 1, Floor 1, Room 1",2021-02-06,green,26.36,green,97.0
33,355,"House 1, Floor 1, Room 1",2021-02-07,green,25.97,green,99.0
34,355,"House 1, Floor 1, Room 1",2021-02-08,green,25.23,green,98.0
