,Airspace id,Fullname,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
161,389,"House 1, Floor 1, Room 3",2021-02-08,blue,,blue,
162,389,"House 1, Floor 1, Room 3",2021-02-09,blue,,blue,
163,389,"House 1, Floor 1, Room 3",2021-02-10,green,,blue,
0,389,"House 1, Floor 1, Room 3",2021-02-11,green,20.72,blue,
164,389,"House 1, Floor 1, Room 3",2021-02-12,green,,blue,
165,389,"House 1, Floor 1, Room 3",2021-02-13,blue,,blue,
166,389,"House 1, Floor 1, Room 3",2021-02-14,blue,,blue,
167,389,"House 1, Floor 1, Room 3",2021-02-15,blue,,blue,
168,389,"House 1, Floor 1, Room 3",2021-02-16,blue,,blue,
169,389,"House 1, Floor 1, Room 3",2021-02-17,blue,,blue,
170,389,"House 1, Floor 1, Room 3",2021-02-18,blue,,blue,
171,389,"House 1, Floor 1, Room 3",2021-02-19,blue,,blue,
172,389,"House 1, Floor 1, Room 3",2021-02-20,blue,,blue,
173,389,"House 1, Floor 1, Room 3",2021-02-21,blue,,blue,
174,389,"House 1, Floor 1, Room 3",2021-02-22,blue,,blue,
175,389,"House 1, Floor 1, Room 3",2021-02-23,blue,,blue,
1,389,"House 1, Floor 1, Room 3",2021-02-24,blue,18.15,blue,
176,389,"House 1, Floor 1, Room 3",2021-02-25,blue,,blue,
177,389,"House 1, Floor 1, Room 3",2021-02-26,blue,,blue,
178,389,"House 1, Floor 1, Room 3",2021-02-27,blue,,blue,
179,389,"House 1, Floor 1, Room 3",2021-02-28,blue,,blue,
180,389,"House 1, Floor 1, Room 3",2021-03-01,blue,,blue,
2,389,"House 1, Floor 1, Room 3",2021-03-02,green,13.95,green,
3,389,"House 1, Floor 1, Room 3",2021-03-03,green,15.35,green,98.0
4,389,"House 1, Floor 1, Room 3",2021-03-04,red,17.13,green,97.0
5,389,"House 1, Floor 1, Room 3",2021-03-05,green,16.5,green,99.0
6,389,"House 1, Floor 1, Room 3",2021-03-06,green,16.72,green,98.0
7,389,"House 1, Floor 1, Room 3",2021-03-07,green,16.93,green,97.0
8,389,"House 1, Floor 1, Room 3",2021-03-08,green,18.28,green,99.0
9,389,"House 1, Floor 1, Room 3",2021-03-09,green,17.78,green,95.0
10,389,"House 1, Floor 1, Room 3",2021-03-10,green,18.04,green,94.0
11,389,"House 1, Floor 1, Room 3",2021-03-11,green,18.33,green,91.0
12,389,"House 1, Floor 1, Room 3",2021-03-12,green,16.95,green,95.0
