,Device id,Device name,Device code,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
0,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-08,blue,,blue,
1,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-09,blue,,blue,
2,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-10,blue,,blue,
3,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-11,blue,,blue,
4,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-12,blue,,blue,
5,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-13,blue,,blue,
6,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-14,blue,,blue,
7,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-15,blue,,blue,
8,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-16,blue,,blue,
9,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-17,blue,,blue,
10,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-18,blue,,blue,
11,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-19,blue,,blue,
12,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-20,blue,,blue,
13,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-21,blue,,blue,
14,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-22,blue,,blue,
15,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-23,blue,,blue,
16,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-24,green,,blue,
17,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-25,green,,blue,
18,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-26,green,,blue,
19,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-27,blue,,blue,
20,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-02-28,blue,,blue,
21,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-01,blue,,blue,
22,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-02,green,17.0,green,
23,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-03,green,17.0,green,99.0
24,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-04,green,17.0,green,99.0
25,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-05,green,19.0,green,99.0
26,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-06,green,27.0,green,99.0
27,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-07,green,28.5,green,99.0
28,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-08,green,28.0,green,99.0
29,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-09,green,27.5,green,91.0
30,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-10,green,26.5,green,81.0
31,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-11,green,26.5,green,94.0
32,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-12,green,26.5,green,90.0
33,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-13,green,26.5,green,73.0
34,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-14,green,26.5,green,70.0
35,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-15,green,26.5,green,92.0
36,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-16,green,26.5,green,89.0
37,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-17,green,26.5,green,66.0
38,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-18,green,26.0,green,85.0
39,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-19,green,26.5,green,94.0
40,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-20,green,26.0,green,84.0
41,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-21,green,26.5,green,88.0
42,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-22,green,27.0,green,96.0
43,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-23,green,26.5,green,97.0
44,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-24,green,26.5,green,96.0
45,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-25,green,26.0,green,98.0
46,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-26,green,26.5,green,89.0
47,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-27,green,27.5,green,96.0
48,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-28,green,26.5,green,98.0
49,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-29,green,26.5,green,98.0
50,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-30,green,26.5,green,98.0
51,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-03-31,green,26.5,green,97.0
52,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-01,green,27.0,green,99.0
53,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-02,green,26.0,green,96.0
54,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-03,green,25.5,green,98.0
55,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-04,green,25.5,green,97.0
56,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-05,green,25.5,green,97.0
57,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-06,green,26.0,green,97.0
58,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-07,green,26.0,green,96.0
59,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-08,green,24.0,green,93.0
60,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-09,green,25.0,green,99.0
61,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-10,green,23.5,green,97.0
62,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-11,green,22.5,green,96.0
63,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-12,green,23.5,green,98.0
64,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-13,green,23.0,green,99.0
65,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-14,green,22.5,green,99.0
66,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-15,green,22.0,green,99.0
67,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-16,green,22.5,green,98.0
68,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-17,green,22.0,green,97.0
69,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-18,green,22.5,green,99.0
70,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-19,green,22.0,green,96.0
71,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-20,green,22.0,green,97.0
72,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-21,green,21.5,green,95.0
73,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-22,green,21.5,green,98.0
74,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-23,green,21.0,green,97.0
75,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-24,green,21.0,green,99.0
76,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-25,green,21.5,green,98.0
77,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-26,green,23.0,green,99.0
78,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-27,green,24.5,green,98.0
79,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-28,green,24.0,green,98.0
80,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-29,green,22.5,green,98.0
81,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-04-30,green,22.5,green,99.0
82,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-01,green,22.5,green,99.0
83,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-02,green,22.5,green,99.0
84,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-03,green,23.5,green,99.0
85,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-04,green,21.5,green,99.0
86,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-05,green,21.0,green,98.0
87,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-06,green,20.0,green,98.0
88,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-07,green,20.5,green,96.0
89,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-08,green,,green,97.0
90,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-09,green,,green,99.0
91,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-10,green,20.5,green,99.0
92,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-11,green,20.5,green,99.0
93,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-12,green,20.5,green,98.0
94,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-13,green,21.5,green,99.0
95,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-14,green,21.5,green,99.0
96,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-15,green,21.0,green,97.0
97,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-16,green,22.5,green,98.0
98,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-17,green,23.5,green,98.0
99,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-18,green,23.5,green,99.0
100,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-19,green,24.0,green,99.0
101,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-20,green,25.5,green,98.0
102,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-21,green,25.5,green,99.0
103,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-22,green,25.5,green,97.0
104,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-23,yellow,26.5,green,99.0
105,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-24,green,26.5,green,97.0
106,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-25,yellow,27.0,green,99.0
107,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-26,green,26.0,green,99.0
108,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-27,green,25.0,green,99.0
109,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-28,green,22.5,green,94.0
110,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-29,green,21.0,green,98.0
111,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-30,green,22.0,green,99.0
112,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-05-31,green,23.0,green,98.0
113,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-06-01,green,23.0,green,98.0
114,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-06-02,green,23.5,green,99.0
115,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-06-03,green,24.5,green,96.0
116,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-06-04,green,26.0,green,98.0
117,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-06-05,yellow,26.5,green,98.0
118,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-06-06,green,26.0,green,99.0
119,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-06-07,green,25.5,green,99.0
120,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-06-08,green,25.0,green,98.0
121,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-06-09,green,25.5,green,99.0
122,510,Maschhoff_BIBL_C_RM4 ,MO1936XX-P6TLS59Q,2021-06-10,yellow,27.0,green,99.0
