,Date (America/Chicago),"Maschhoff_BIBL_C_RM4  Temp shock - color
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4 Temp (°C) - data
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  ReHS - color
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  ReHS - data
(MO1936XX-P6TLS59Q)","Maschhoff_BIBL_WC_RM3 Temp shock - color
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3Temp (°C) - data
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 ReHS - color
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 ReHS - data
(MO201201-JPTKLQ7D)","Maschhoff_BIBL_EC_RM4 Temp shock - color
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4Temp (°C) - data
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 ReHS - color
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 ReHS - data
(MO201201-4C7S5KNG)","Maschhoff_BIBL_EE_RM3 Temp shock - color
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3Temp (°C) - data
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 ReHS - color
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 ReHS - data
(MO201201-KQQ77D7J)","Maschhoff_BIBL_WC_RM4 Temp shock - color
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4Temp (°C) - data
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 ReHS - color
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 ReHS - data
(MO201401-8FBZLPSJ)","Maschhoff_BIBL_WW_RM4 Temp shock - color
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4Temp (°C) - data
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 ReHS - color
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 ReHS - data
(MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM3 Temp shock - color
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3Temp (°C) - data
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 ReHS - color
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 ReHS - data
(MO201401-8HZ6MVH5)","Maschhoff_BIBL_EE_RM4 Temp shock - color
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4Temp (°C) - data
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 ReHS - color
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 ReHS - data
(MO201401-BGHDKCLJ)","Maschhoff_BIBL_EC_RM3 Temp shock - color
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3Temp (°C) - data
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 ReHS - color
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 ReHS - data
(MO202001-DSXZ8WVL)","Maschhoff_BIBL_C_RM3 Temp shock - color
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3Temp (°C) - data
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 ReHS - color
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 ReHS - data
(MO202101-CJSR9JKN)"
0,2021-02-08,blue,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,,blue,,blue,,blue,
1,2021-02-09,blue,,blue,,green,,blue,,green,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,,blue,,blue,,blue,
2,2021-02-10,blue,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
3,2021-02-11,blue,,blue,,green,20.5,blue,,green,21.0,blue,,green,21.0,blue,,green,20.5,blue,,green,22.0,blue,,green,21.0,blue,,green,20.5,blue,,green,,blue,,green,,blue,
4,2021-02-12,blue,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
5,2021-02-13,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
6,2021-02-14,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
7,2021-02-15,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
8,2021-02-16,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
9,2021-02-17,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
10,2021-02-18,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
11,2021-02-19,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
12,2021-02-20,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
13,2021-02-21,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
14,2021-02-22,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
15,2021-02-23,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
16,2021-02-24,green,,blue,,blue,17.5,blue,,blue,18.0,blue,,blue,20.0,blue,,blue,18.5,blue,,blue,17.0,blue,,blue,17.0,blue,,blue,17.5,blue,,blue,,blue,,blue,,blue,
17,2021-02-25,green,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
18,2021-02-26,green,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
