,Device id,Device name,Device code,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
0,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-09,green,,blue,
1,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-10,green,29.5,green,
2,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-11,green,29.5,green,99.0
3,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-12,green,29.0,green,96.0
4,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-13,green,29.0,green,99.0
5,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-14,green,28.5,green,99.0
6,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-15,green,28.5,green,99.0
7,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-16,green,28.5,green,99.0
8,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-17,green,28.5,green,99.0
9,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-18,green,28.5,green,99.0
10,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-19,green,28.0,green,99.0
11,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-20,green,28.0,green,98.0
12,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-21,green,28.0,green,98.0
13,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-22,green,27.5,green,98.0
14,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-23,green,27.5,green,97.0
15,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-24,green,27.0,green,92.0
16,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-25,green,27.0,green,94.0
17,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-26,green,27.0,green,88.0
18,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-27,green,27.0,green,95.0
19,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-28,green,26.5,green,93.0
20,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-29,green,26.5,green,95.0
21,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-30,green,26.5,green,91.0
22,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2020-12-31,green,26.5,green,92.0
23,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-01,green,26.5,green,95.0
24,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-02,green,26.5,green,94.0
25,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-03,green,26.5,green,91.0
26,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-04,green,27.0,green,89.0
27,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-05,green,26.5,green,93.0
28,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-06,green,27.0,green,93.0
29,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-07,green,26.5,green,95.0
30,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-08,green,27.0,green,91.0
31,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-09,green,26.0,green,95.0
32,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-10,green,26.0,green,92.0
33,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-11,green,26.0,green,98.0
34,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-12,green,26.5,green,91.0
35,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-13,green,26.0,green,92.0
36,1460,Masc_CON2_RM2_W,MO201901-M27NVRN2,2021-01-14,green,26.5,green,85.0
