,Device id,Device name,Device code,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
0,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-21,green,,blue,
1,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-22,green,,blue,
2,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-23,green,,blue,
3,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-24,blue,,blue,
4,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-25,blue,,blue,
5,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-26,blue,,blue,
6,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-27,blue,,blue,
7,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-28,blue,,blue,
8,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-29,blue,,blue,
9,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-30,blue,,blue,
10,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2020-12-31,blue,,blue,
11,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-01,blue,,blue,
12,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-02,blue,,blue,
13,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-03,blue,,blue,
14,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-04,green,28.0,green,
15,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-05,green,29.0,green,94.0
16,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-06,green,29.0,green,99.0
17,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-07,green,29.0,green,98.0
18,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-08,green,29.0,green,97.0
19,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-09,green,29.0,green,98.0
20,1155,Maschhoff_G1TC_RM2_SC,MO201401-P9DTQ8WT,2021-01-10,green,29.0,green,99.0
