,Date (America/Chicago),"House 1, Floor 1, Room 7 Temperature shock - color","House 1, Floor 1, Room 7 Temperature - data","House 1, Floor 1, Room 7 ReHS - color","House 1, Floor 1, Room 7 ReHS - data","House 1, Floor 1, Room 8 Temperature shock - color","House 1, Floor 1, Room 8 Temperature - data","House 1, Floor 1, Room 8 ReHS - color","House 1, Floor 1, Room 8 ReHS - data"
165,2021-02-08,blue,,blue,,blue,,blue,
166,2021-02-09,blue,,blue,,blue,,blue,
167,2021-02-10,green,,blue,,green,,blue,
162,2021-02-11,green,27.0,blue,,green,20.63,blue,
168,2021-02-12,green,,blue,,green,,blue,
169,2021-02-13,blue,,blue,,blue,,blue,
170,2021-02-14,blue,,blue,,blue,,blue,
171,2021-02-15,blue,,blue,,blue,,blue,
172,2021-02-16,blue,,blue,,blue,,blue,
173,2021-02-17,blue,,blue,,blue,,blue,
174,2021-02-18,blue,,blue,,blue,,blue,
175,2021-02-19,blue,,blue,,blue,,blue,
176,2021-02-20,blue,,blue,,blue,,blue,
177,2021-02-21,blue,,blue,,blue,,blue,
178,2021-02-22,blue,,blue,,blue,,blue,
179,2021-02-23,blue,,blue,,blue,,blue,
180,2021-02-24,blue,,blue,,blue,,blue,
163,2021-02-25,red,26.39,red,,green,26.79,red,
0,2021-02-26,red,27.11,red,24.0,green,26.41,red,30.0
1,2021-02-27,red,25.37,red,15.0,green,26.56,red,26.0
2,2021-02-28,red,24.4,red,14.0,green,26.73,red,27.0
3,2021-03-01,red,25.22,red,16.0,green,25.67,red,32.0
4,2021-03-02,red,24.95,red,18.0,green,25.72,red,25.0
5,2021-03-03,green,24.56,red,14.0,green,25.67,red,24.0
6,2021-03-04,green,23.41,red,12.0,green,25.12,red,26.0
7,2021-03-05,red,23.39,red,12.0,green,24.61,red,20.0
8,2021-03-06,green,23.39,red,12.0,green,24.73,red,27.0
9,2021-03-07,green,23.06,red,10.0,green,24.76,red,25.0
10,2021-03-08,green,22.87,red,13.0,green,24.92,red,26.0
11,2021-03-09,green,23.03,red,12.0,green,24.97,red,30.0
12,2021-03-10,green,22.59,red,10.0,green,25.21,red,25.0
13,2021-03-11,green,21.65,red,9.0,green,25.19,red,25.0
14,2021-03-12,green,21.51,red,14.0,green,25.04,red,17.0
15,2021-03-13,green,21.08,red,14.0,green,25.03,red,15.0
16,2021-03-14,green,20.95,red,6.0,green,24.86,red,6.0
17,2021-03-15,green,21.17,red,15.0,green,24.77,red,12.0
18,2021-03-16,green,21.29,red,10.0,green,24.54,red,4.0
19,2021-03-17,green,20.62,red,8.0,green,24.41,red,6.0
20,2021-03-18,green,20.76,red,7.0,green,23.64,red,10.0
21,2021-03-19,green,21.42,red,6.0,green,23.38,red,8.0
22,2021-03-20,green,21.03,red,9.0,green,23.46,red,7.0
23,2021-03-21,yellow,21.29,red,7.0,green,23.54,red,8.0
24,2021-03-22,yellow,21.05,red,5.0,green,23.47,red,10.0
25,2021-03-23,green,20.03,red,4.0,green,22.16,red,16.0
26,2021-03-24,red,21.32,red,3.0,yellow,22.69,red,16.0
27,2021-03-25,green,20.79,red,4.0,yellow,21.81,red,17.0
28,2021-03-26,yellow,20.95,red,5.0,yellow,21.76,red,22.0
29,2021-03-27,yellow,22.53,red,3.0,red,22.92,red,15.0
30,2021-03-28,green,21.11,red,7.0,green,21.27,red,28.0
31,2021-03-29,red,20.66,red,8.0,red,21.07,red,20.0
32,2021-03-30,yellow,21.23,red,9.0,yellow,21.54,red,21.0
33,2021-03-31,yellow,21.06,red,12.0,yellow,21.23,red,21.0
34,2021-04-01,green,20.87,red,15.0,green,20.1,red,29.0
35,2021-04-02,green,20.4,red,20.0,yellow,20.5,red,25.0
36,2021-04-03,yellow,20.88,red,18.0,red,21.04,red,29.0
37,2021-04-04,yellow,22.11,red,26.0,yellow,22.78,red,29.0
38,2021-04-05,yellow,22.26,red,26.0,yellow,22.64,red,25.0
39,2021-04-06,yellow,23.1,yellow,49.0,yellow,23.83,yellow,45.0
40,2021-04-07,yellow,23.53,red,28.0,yellow,24.44,red,23.0
41,2021-04-08,red,21.14,green,72.0,yellow,20.42,red,36.0
42,2021-04-09,yellow,23.14,green,89.0,red,22.79,red,19.0
43,2021-04-10,red,20.75,green,84.0,red,21.37,red,27.0
44,2021-04-11,red,22.09,green,82.0,red,21.89,red,24.0
45,2021-04-12,green,21.85,green,74.0,green,21.94,red,34.0
46,2021-04-13,green,20.19,red,36.0,red,19.69,red,35.0
47,2021-04-14,green,20.95,yellow,44.0,red,21.26,red,30.0
48,2021-04-15,green,20.51,red,33.0,yellow,21.17,yellow,44.0
49,2021-04-16,green,20.0,yellow,46.0,green,20.5,yellow,45.0
50,2021-04-17,green,19.34,yellow,46.0,red,19.87,yellow,51.0
51,2021-04-18,green,20.96,red,37.0,red,21.09,yellow,52.0
52,2021-04-19,red,20.56,yellow,56.0,yellow,20.52,yellow,45.0
53,2021-04-20,green,19.23,red,36.0,green,20.45,yellow,49.0
54,2021-04-21,yellow,19.34,yellow,48.0,green,20.4,yellow,48.0
55,2021-04-22,red,19.77,yellow,44.0,yellow,20.29,yellow,47.0
56,2021-04-23,yellow,19.0,red,34.0,yellow,20.44,yellow,43.0
