,Device id,Device name,Device code,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
0,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-08,blue,,blue,
1,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-09,blue,,blue,
2,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-10,blue,,blue,
3,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-11,blue,,blue,
4,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-12,blue,,blue,
5,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-13,blue,,blue,
6,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-14,blue,,blue,
7,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-15,blue,,blue,
8,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-16,blue,,blue,
9,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-17,blue,,blue,
10,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-18,blue,,blue,
11,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-19,blue,,blue,
12,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-20,blue,,blue,
13,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-21,blue,,blue,
14,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-22,blue,,blue,
15,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-23,blue,,blue,
16,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-24,blue,,blue,
17,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-25,red,,blue,
18,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-26,red,26.5,red,
19,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-27,red,25.0,red,26.0
20,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-02-28,red,24.0,red,25.0
21,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-01,red,24.5,red,34.0
22,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-02,red,24.5,red,36.0
23,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-03,green,24.0,red,30.0
24,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-04,green,22.5,red,27.0
25,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-05,red,22.5,red,27.0
26,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-06,green,22.5,red,30.0
27,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-07,green,22.0,red,33.0
28,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-08,green,22.0,red,31.0
29,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-09,green,22.5,yellow,35.0
30,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-10,green,21.5,yellow,45.0
31,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-11,green,21.0,red,45.0
32,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-12,green,21.0,red,32.0
33,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-13,green,20.5,red,35.0
34,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-14,green,20.0,red,26.0
35,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-15,green,20.5,red,28.0
36,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-16,green,20.5,red,27.0
37,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-17,green,20.0,red,34.0
38,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-18,green,20.0,red,26.0
39,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-19,green,21.0,red,26.0
40,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-20,green,20.5,red,32.0
41,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-21,green,21.0,red,30.0
42,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-22,green,21.0,red,29.0
43,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-23,green,19.0,red,37.0
44,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-24,yellow,21.0,red,37.0
45,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-25,green,20.0,red,24.0
46,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-26,green,20.5,red,28.0
47,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-27,yellow,22.5,red,36.0
48,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-28,green,20.0,red,33.0
49,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-29,yellow,20.5,red,34.0
50,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-30,green,21.0,yellow,47.0
51,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-03-31,green,20.0,red,32.0
52,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-04-01,green,20.0,red,37.0
53,974,Maschhoff_HOTC_WC_RM7,MO201201-ZB856GBP,2021-04-02,green,19.5,yellow,46.0
