,Date (America/Chicago),"Maschhoff_TPLJ_RM2_C Temp shock - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_CTemp (°C) - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - data
(MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_W Temp shock - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_WTemp (°C) - data
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - data
(MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM1_W Temp shock - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_WTemp (°C) - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - data
(MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_C Temp shock - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_CTemp (°C) - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - data
(MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM2_E Temp shock - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_ETemp (°C) - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - data
(MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM1_E Temp shock - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_ETemp (°C) - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - data
(MO202701-QRND87D5)"
0,2021-03-15,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
1,2021-03-16,green,26.0,blue,,green,25.0,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
2,2021-03-17,green,23.0,blue,,green,23.0,blue,,green,,blue,,yellow,,blue,,red,,blue,,green,,blue,
3,2021-03-18,green,23.5,green,76.0,green,23.0,green,82.0,yellow,,green,,yellow,,green,,red,,yellow,,yellow,,yellow,
4,2021-03-19,green,23.0,green,77.0,green,23.0,green,71.0,green,,green,,green,,green,,red,,yellow,,green,,green,
5,2021-03-20,green,22.0,green,67.0,green,23.0,yellow,46.0,green,,green,,green,,green,,green,,yellow,,green,,green,
6,2021-03-21,green,21.5,green,64.0,green,23.0,red,36.0,green,,green,,green,,yellow,,green,,red,,green,,yellow,
7,2021-03-22,green,22.0,red,36.0,green,23.0,red,26.0,green,,yellow,,green,,yellow,,green,,red,,yellow,,yellow,
8,2021-03-23,green,22.0,red,24.0,green,23.0,red,26.0,green,,yellow,,green,,yellow,,green,,red,,green,,yellow,
9,2021-03-24,green,22.5,red,18.0,green,23.0,red,28.0,yellow,,red,,yellow,,red,,green,,red,,green,,red,
10,2021-03-25,green,21.0,red,21.0,green,23.0,red,31.0,green,,red,,green,,red,,green,,red,,green,,red,
11,2021-03-26,green,19.5,red,28.0,green,23.0,red,30.0,green,,red,,green,,red,,green,,red,,green,,red,
12,2021-03-27,green,19.5,red,32.0,green,23.0,red,33.0,green,,yellow,,yellow,,red,,green,,red,,green,,red,
13,2021-03-28,green,19.0,red,29.0,green,22.5,red,35.0,green,,yellow,,green,,red,,green,,red,,green,,red,
14,2021-03-29,yellow,21.5,yellow,43.0,green,23.0,yellow,54.0,yellow,,green,,red,,yellow,,yellow,,red,,yellow,,yellow,
15,2021-03-30,green,19.5,red,37.0,green,22.0,yellow,55.0,green,,green,,green,,yellow,,yellow,,red,,green,,yellow,
16,2021-03-31,green,20.0,yellow,46.0,green,22.0,green,68.0,yellow,,green,,yellow,,yellow,,red,,red,,green,,yellow,
