,Airspace id,Fullname,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
724,342,"Barn 1, Room 2 (south)",2020-12-08,green,,blue,
725,342,"Barn 1, Room 2 (south)",2020-12-09,green,,blue,
559,342,"Barn 1, Room 2 (south)",2020-12-10,green,30.0,green,
560,342,"Barn 1, Room 2 (south)",2020-12-11,green,29.83,green,96.0
561,342,"Barn 1, Room 2 (south)",2020-12-12,green,29.56,green,96.0
562,342,"Barn 1, Room 2 (south)",2020-12-13,green,28.88,green,98.0
563,342,"Barn 1, Room 2 (south)",2020-12-14,green,28.76,green,96.0
564,342,"Barn 1, Room 2 (south)",2020-12-15,green,28.48,green,97.0
565,342,"Barn 1, Room 2 (south)",2020-12-16,green,28.41,green,97.0
566,342,"Barn 1, Room 2 (south)",2020-12-17,green,28.21,green,97.0
567,342,"Barn 1, Room 2 (south)",2020-12-18,green,27.97,green,98.0
568,342,"Barn 1, Room 2 (south)",2020-12-19,green,27.63,green,97.0
569,342,"Barn 1, Room 2 (south)",2020-12-20,green,27.31,green,97.0
570,342,"Barn 1, Room 2 (south)",2020-12-21,green,27.14,green,97.0
571,342,"Barn 1, Room 2 (south)",2020-12-22,green,26.95,green,96.0
572,342,"Barn 1, Room 2 (south)",2020-12-23,green,26.63,green,90.0
573,342,"Barn 1, Room 2 (south)",2020-12-24,green,26.33,green,81.0
574,342,"Barn 1, Room 2 (south)",2020-12-25,green,26.41,green,82.0
575,342,"Barn 1, Room 2 (south)",2020-12-26,green,26.45,green,80.0
576,342,"Barn 1, Room 2 (south)",2020-12-27,green,26.3,green,84.0
577,342,"Barn 1, Room 2 (south)",2020-12-28,green,26.04,green,84.0
578,342,"Barn 1, Room 2 (south)",2020-12-29,green,25.77,yellow,74.0
579,342,"Barn 1, Room 2 (south)",2020-12-30,green,25.74,green,56.0
580,342,"Barn 1, Room 2 (south)",2020-12-31,green,25.73,green,84.0
581,342,"Barn 1, Room 2 (south)",2021-01-01,green,25.74,green,75.0
582,342,"Barn 1, Room 2 (south)",2021-01-02,green,25.75,yellow,67.0
583,342,"Barn 1, Room 2 (south)",2021-01-03,green,25.39,yellow,56.0
584,342,"Barn 1, Room 2 (south)",2021-01-04,green,25.99,green,55.0
585,342,"Barn 1, Room 2 (south)",2021-01-05,green,25.62,yellow,70.0
586,342,"Barn 1, Room 2 (south)",2021-01-06,green,25.96,green,57.0
587,342,"Barn 1, Room 2 (south)",2021-01-07,green,25.6,green,64.0
588,342,"Barn 1, Room 2 (south)",2021-01-08,green,25.78,green,77.0
589,342,"Barn 1, Room 2 (south)",2021-01-09,green,25.28,green,84.0
590,342,"Barn 1, Room 2 (south)",2021-01-10,green,25.07,green,84.0
591,342,"Barn 1, Room 2 (south)",2021-01-11,green,25.22,green,88.0
592,342,"Barn 1, Room 2 (south)",2021-01-12,green,25.28,green,83.0
593,342,"Barn 1, Room 2 (south)",2021-01-13,green,25.47,green,80.0
594,342,"Barn 1, Room 2 (south)",2021-01-14,green,25.54,green,74.0
595,342,"Barn 1, Room 2 (south)",2021-01-15,green,24.84,yellow,74.0
596,342,"Barn 1, Room 2 (south)",2021-01-16,green,24.67,green,56.0
597,342,"Barn 1, Room 2 (south)",2021-01-17,green,24.75,green,64.0
598,342,"Barn 1, Room 2 (south)",2021-01-18,green,24.59,green,72.0
599,342,"Barn 1, Room 2 (south)",2021-01-19,green,24.53,green,81.0
600,342,"Barn 1, Room 2 (south)",2021-01-20,green,23.76,green,85.0
601,342,"Barn 1, Room 2 (south)",2021-01-21,green,24.16,green,82.0
602,342,"Barn 1, Room 2 (south)",2021-01-22,green,24.2,green,82.0
603,342,"Barn 1, Room 2 (south)",2021-01-23,green,23.92,green,80.0
