,Date (America/Chicago),"Barn 1, Room 1 (north) Temperature shock - color","Barn 1, Room 1 (north) Temperature - data","Barn 1, Room 1 (north) ReHS - color","Barn 1, Room 1 (north) ReHS - data","Barn 1, Room 2 (south) Temperature shock - color","Barn 1, Room 2 (south) Temperature - data","Barn 1, Room 2 (south) ReHS - color","Barn 1, Room 2 (south) ReHS - data"
174,2020-12-08,green,,blue,,green,,blue,
175,2020-12-09,green,,blue,,green,,blue,
0,2020-12-10,green,28.9,green,,green,30.0,green,
1,2020-12-11,green,28.64,green,93.0,green,29.83,green,96.0
2,2020-12-12,green,28.84,green,94.0,green,29.56,green,96.0
3,2020-12-13,green,28.81,green,98.0,green,28.88,green,98.0
4,2020-12-14,green,28.73,green,98.0,green,28.76,green,96.0
5,2020-12-15,green,28.45,green,96.0,green,28.48,green,97.0
6,2020-12-16,green,28.14,green,96.0,green,28.41,green,97.0
7,2020-12-17,green,28.0,green,94.0,green,28.21,green,97.0
8,2020-12-18,green,27.87,green,94.0,green,27.97,green,98.0
9,2020-12-19,green,27.62,green,94.0,green,27.63,green,97.0
10,2020-12-20,green,27.37,green,97.0,green,27.31,green,97.0
11,2020-12-21,green,27.34,green,94.0,green,27.14,green,97.0
12,2020-12-22,green,26.8,green,96.0,green,26.95,green,96.0
13,2020-12-23,green,26.87,green,95.0,green,26.63,green,90.0
14,2020-12-24,green,26.6,green,95.0,green,26.33,green,81.0
15,2020-12-25,green,26.23,green,92.0,green,26.41,green,82.0
16,2020-12-26,green,26.12,green,95.0,green,26.45,green,80.0
17,2020-12-27,green,26.05,green,89.0,green,26.3,green,84.0
18,2020-12-28,green,25.86,green,93.0,green,26.04,green,84.0
19,2020-12-29,green,25.81,green,89.0,green,25.77,yellow,74.0
20,2020-12-30,green,25.75,green,85.0,green,25.74,green,56.0
21,2020-12-31,green,25.41,green,86.0,green,25.73,green,84.0
22,2021-01-01,green,25.45,green,76.0,green,25.74,green,75.0
23,2021-01-02,green,25.07,green,68.0,green,25.75,yellow,67.0
24,2021-01-03,green,24.64,green,84.0,green,25.39,yellow,56.0
25,2021-01-04,green,24.68,green,82.0,green,25.99,green,55.0
26,2021-01-05,green,24.44,green,91.0,green,25.62,yellow,70.0
27,2021-01-06,green,24.05,green,89.0,green,25.96,green,57.0
28,2021-01-07,green,23.88,green,92.0,green,25.6,green,64.0
29,2021-01-08,green,24.46,green,75.0,green,25.78,green,77.0
30,2021-01-09,green,24.36,green,72.0,green,25.28,green,84.0
31,2021-01-10,green,24.45,green,77.0,green,25.07,green,84.0
32,2021-01-11,green,24.23,green,74.0,green,25.22,green,88.0
33,2021-01-12,green,24.17,green,80.0,green,25.28,green,83.0
34,2021-01-13,green,24.23,green,80.0,green,25.47,green,80.0
35,2021-01-14,green,24.53,green,84.0,green,25.54,green,74.0
36,2021-01-15,green,23.45,yellow,84.0,green,24.84,yellow,74.0
37,2021-01-16,green,24.46,green,56.0,green,24.67,green,56.0
38,2021-01-17,green,24.16,green,64.0,green,24.75,green,64.0
39,2021-01-18,green,23.6,green,74.0,green,24.59,green,72.0
