,Date (America/Chicago),"Barn 1, Room 1 Temperature shock - color","Barn 1, Room 1 Temperature - data","Barn 1, Room 1 ReHS - color","Barn 1, Room 1 ReHS - data","Barn 1, Room 2 Temperature shock - color","Barn 1, Room 2 Temperature - data","Barn 1, Room 2 ReHS - color","Barn 1, Room 2 ReHS - data"
167,2020-12-21,green,,blue,,green,,blue,
168,2020-12-22,green,,blue,,green,,blue,
169,2020-12-23,green,,blue,,green,,blue,
170,2020-12-24,blue,,blue,,blue,,blue,
171,2020-12-25,blue,,blue,,blue,,blue,
172,2020-12-26,blue,,blue,,blue,,blue,
173,2020-12-27,blue,,blue,,blue,,blue,
174,2020-12-28,blue,,blue,,blue,,blue,
175,2020-12-29,blue,,blue,,blue,,blue,
176,2020-12-30,blue,,blue,,blue,,blue,
177,2020-12-31,blue,,blue,,blue,,blue,
178,2021-01-01,blue,,blue,,blue,,blue,
179,2021-01-02,blue,,blue,,blue,,blue,
180,2021-01-03,blue,,blue,,blue,,blue,
0,2021-01-04,green,17.2,green,,green,27.81,green,
1,2021-01-05,green,17.15,green,97.0,green,27.88,green,94.0
2,2021-01-06,green,16.92,green,96.0,green,28.18,green,95.0
3,2021-01-07,green,17.13,green,98.0,green,28.17,green,97.0
4,2021-01-08,green,17.08,green,96.0,green,28.23,green,96.0
5,2021-01-09,green,17.17,green,94.0,green,28.29,green,92.0
6,2021-01-10,green,17.25,green,96.0,blue,28.28,green,91.0
7,2021-01-11,green,22.69,green,97.0,green,28.33,green,96.0
8,2021-01-12,green,27.36,green,98.0,green,28.34,green,93.0
9,2021-01-13,yellow,16.83,green,96.0,green,28.38,green,88.0
10,2021-01-14,green,16.76,green,98.0,green,28.4,green,95.0
11,2021-01-15,green,16.99,green,96.0,green,28.49,green,90.0
12,2021-01-16,green,16.81,green,93.0,green,28.41,green,90.0
13,2021-01-17,red,18.58,green,98.0,green,28.4,green,97.0
14,2021-01-18,green,30.59,green,96.0,green,28.36,green,95.0
15,2021-01-19,yellow,30.65,green,96.0,green,28.35,green,86.0
16,2021-01-20,yellow,30.79,green,95.0,green,28.35,green,68.0
17,2021-01-21,yellow,29.3,green,93.0,green,28.4,green,82.0
18,2021-01-22,green,29.56,green,92.0,green,28.09,green,78.0
19,2021-01-23,green,29.8,green,97.0,green,28.16,green,63.0
20,2021-01-24,yellow,29.16,green,96.0,green,28.23,green,70.0
21,2021-01-25,green,28.61,green,92.0,green,27.68,green,91.0
22,2021-01-26,blue,29.1,green,81.0,green,28.14,green,90.0
23,2021-01-27,green,29.28,green,95.0,green,27.96,green,95.0
24,2021-01-28,blue,29.01,green,97.0,blue,27.46,green,98.0
25,2021-01-29,green,28.22,green,95.0,green,26.98,green,96.0
26,2021-01-30,red,29.01,green,97.0,green,27.04,green,92.0
27,2021-01-31,yellow,30.57,green,96.0,green,27.59,green,92.0
28,2021-02-01,green,28.28,green,93.0,green,27.46,green,93.0
29,2021-02-02,green,26.57,green,92.0,green,27.37,green,93.0
30,2021-02-03,green,26.62,green,92.0,green,27.3,green,95.0
31,2021-02-04,green,25.8,green,86.0,green,26.43,green,95.0
32,2021-02-05,green,25.9,green,92.0,green,26.02,green,96.0
33,2021-02-06,green,25.39,green,93.0,green,26.28,green,90.0
34,2021-02-07,green,25.1,green,89.0,green,25.52,green,93.0
35,2021-02-08,green,25.1,green,93.0,green,25.12,green,88.0
