,Device id,Device name,Device code,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
1200,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-15,yellow,20.5,green,99.0
1201,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-16,green,20.0,green,99.0
1202,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-17,green,20.0,green,99.0
1203,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-18,green,20.0,green,99.0
1204,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-19,green,21.5,green,97.0
1205,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-20,green,21.5,green,97.0
1206,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-21,yellow,23.5,green,99.0
1207,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-22,yellow,24.0,green,98.0
1208,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-23,yellow,24.5,green,97.0
1209,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-24,yellow,25.0,green,99.0
1210,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-25,red,24.5,green,99.0
1211,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-26,yellow,21.5,green,99.0
1212,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-27,green,19.0,green,99.0
1213,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-28,green,17.0,green,96.0
1214,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-29,green,18.0,green,93.0
1215,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-30,green,19.0,green,93.0
1216,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-05-31,red,20.0,green,96.0
1217,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-06-01,yellow,22.0,green,99.0
1218,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-06-02,red,22.5,green,98.0
1219,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-06-03,yellow,24.5,green,99.0
1220,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-06-04,yellow,27.5,green,99.0
1221,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-06-05,yellow,28.0,green,99.0
1222,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-06-06,green,26.0,green,96.0
1223,1085,Maschhoff_TPLJ_RM2_C,MO201301-4TG24WHN,2021-06-07,yellow,27.0,green,96.0
