,Device id,Device name,Device code,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
578,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2020-12-21,green,,blue,
579,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2020-12-22,green,,blue,
580,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2020-12-23,green,,blue,
581,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2020-12-24,blue,,blue,
582,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2020-12-25,blue,,blue,
583,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2020-12-26,blue,,blue,
584,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2020-12-27,blue,,blue,
585,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2020-12-28,blue,,blue,
586,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2020-12-29,blue,,blue,
587,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2020-12-30,blue,,blue,
588,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2020-12-31,blue,,blue,
589,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-01,blue,,blue,
590,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-02,blue,,blue,
591,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-03,blue,,blue,
592,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-04,blue,,blue,
593,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-05,blue,14.0,green,
594,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-06,green,14.0,green,97.0
595,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-07,red,17.0,green,97.0
596,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-08,green,29.5,green,98.0
597,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-09,green,30.0,green,98.0
598,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-10,yellow,30.5,green,99.0
599,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-11,green,30.0,green,99.0
600,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-12,green,30.0,green,98.0
601,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-13,green,30.0,green,94.0
602,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-14,green,30.0,green,94.0
603,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-15,green,30.0,green,97.0
604,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-16,green,30.0,green,97.0
605,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-17,green,30.0,green,99.0
606,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-18,green,30.0,green,97.0
607,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-19,green,30.0,green,98.0
608,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-20,green,30.5,green,96.0
609,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-21,green,29.5,green,99.0
610,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-22,green,30.0,green,98.0
611,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-23,green,29.5,green,98.0
612,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-24,green,29.0,green,99.0
613,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-25,green,30.0,green,99.0
614,1463,Maschhoff_4NL2_RM1_E,MO201901-S5WWLTCR,2021-01-26,green,30.0,green,99.0
