,Date (America/Chicago),"Maschhoff_4NL2_RM1_C Temp shock - color
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C Temp (°C) - data
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C ReHS - color
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C ReHS - data
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_E Temp shock - color
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E Temp (°C) - data
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E ReHS - color
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E ReHS - data
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_W Temp shock - color
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W Temp (°C) - data
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W ReHS - color
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W ReHS - data
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM2_C Temp shock - color
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C Temp (°C) - data
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C ReHS - color
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C ReHS - data
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_E Temp shock - color
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E Temp (°C) - data
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E ReHS - color
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E ReHS - data
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_W Temp shock - color
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W Temp (°C) - data
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W ReHS - color
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W ReHS - data
 (MO201901-9JN9RLN4)"
0,2020-12-21,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
1,2020-12-22,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
2,2020-12-23,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
3,2020-12-24,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
4,2020-12-25,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
5,2020-12-26,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
6,2020-12-27,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
7,2020-12-28,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
8,2020-12-29,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
9,2020-12-30,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
10,2020-12-31,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
11,2021-01-01,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
12,2021-01-02,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
13,2021-01-03,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
14,2021-01-04,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
15,2021-01-05,blue,14.0,green,,blue,14.0,green,,green,13.5,green,,yellow,34.0,green,,yellow,,green,,green,31.5,green,
16,2021-01-06,green,14.0,green,99.0,green,14.0,green,97.0,green,13.5,green,99.0,green,33.5,green,98.0,green,,green,,green,31.5,green,96.0
17,2021-01-07,red,17.0,green,99.0,red,17.0,green,97.0,red,16.0,green,99.0,green,32.0,green,99.0,green,,green,,green,31.5,green,98.0
18,2021-01-08,green,30.5,green,99.0,green,29.5,green,98.0,green,29.0,green,99.0,green,31.5,green,98.0,green,,green,,green,31.0,green,99.0
19,2021-01-09,green,31.0,green,97.0,green,30.0,green,98.0,green,29.5,yellow,82.0,green,31.5,green,93.0,green,,green,,yellow,30.5,green,98.0
20,2021-01-10,green,31.5,green,95.0,yellow,30.5,green,99.0,green,30.0,green,52.0,green,31.5,green,98.0,green,,green,,green,30.0,green,98.0
