,Date (America/Chicago),"Maschhoff_G1TC_RM1_CC Temp shock - color
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC Temp (°C) - data
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC ReHS - color
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC ReHS - data
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_N Temp shock - color
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N Temp (°C) - data
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N ReHS - color
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N ReHS - data
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_NC Temp shock - color
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC Temp (°C) - data
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC ReHS - color
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC ReHS - data
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_S Temp shock - color
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S Temp (°C) - data
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S ReHS - color
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S ReHS - data
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_SC Temp shock - color
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC Temp (°C) - data
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC ReHS - color
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC ReHS - data
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM2_CC Temp shock - color
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC Temp (°C) - data
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC ReHS - color
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC ReHS - data
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_N Temp shock - color
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N Temp (°C) - data
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N ReHS - color
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N ReHS - data
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_NC Temp shock - color
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC Temp (°C) - data
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC ReHS - color
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC ReHS - data
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_S Temp shock - color
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S Temp (°C) - data
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S ReHS - color
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S ReHS - data
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_SC Temp shock - color
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC Temp (°C) - data
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC ReHS - color
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC ReHS - data
 (MO201401-P9DTQ8WT)"
0,2020-12-21,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
1,2020-12-22,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
2,2020-12-23,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
3,2020-12-24,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
4,2020-12-25,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
5,2020-12-26,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
6,2020-12-27,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
7,2020-12-28,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
8,2020-12-29,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
9,2020-12-30,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
10,2020-12-31,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
11,2021-01-01,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
12,2021-01-02,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
13,2021-01-03,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
14,2021-01-04,green,17.0,green,,green,17.0,green,,green,17.0,green,,green,17.0,green,,green,18.0,green,,green,27.5,green,,green,27.0,green,,green,28.0,green,,green,28.5,green,,green,28.0,green,
15,2021-01-05,green,16.5,green,97.0,green,17.0,green,98.0,green,17.0,green,99.0,green,17.0,green,99.0,green,18.0,green,99.0,green,27.5,green,99.0,green,27.5,green,97.0,green,27.5,green,97.0,green,28.5,green,99.0,green,29.0,green,94.0
16,2021-01-06,green,16.5,green,99.0,green,16.5,green,97.0,green,16.5,green,98.0,green,17.0,green,99.0,green,18.0,green,96.0,green,28.0,green,99.0,green,28.0,green,98.0,green,27.5,green,95.0,green,28.0,green,99.0,green,29.0,green,99.0
17,2021-01-07,green,17.0,green,99.0,green,17.0,green,98.0,green,17.0,green,99.0,green,17.0,green,98.0,green,18.0,green,98.0,green,28.5,green,97.0,green,27.5,green,98.0,green,27.0,green,97.0,green,28.5,green,97.0,green,29.0,green,98.0
