,Airspace id,Fullname,Date (America/Chicago),Temperature shock - color,Temperature (°C) - data,ReHS - color,ReHS - data
165,391,"House 1, Floor 1, Room 7",2021-02-08,blue,,blue,
166,391,"House 1, Floor 1, Room 7",2021-02-09,blue,,blue,
167,391,"House 1, Floor 1, Room 7",2021-02-10,green,,blue,
162,391,"House 1, Floor 1, Room 7",2021-02-11,green,27.0,blue,
168,391,"House 1, Floor 1, Room 7",2021-02-12,green,,blue,
169,391,"House 1, Floor 1, Room 7",2021-02-13,blue,,blue,
170,391,"House 1, Floor 1, Room 7",2021-02-14,blue,,blue,
171,391,"House 1, Floor 1, Room 7",2021-02-15,blue,,blue,
172,391,"House 1, Floor 1, Room 7",2021-02-16,blue,,blue,
173,391,"House 1, Floor 1, Room 7",2021-02-17,blue,,blue,
174,391,"House 1, Floor 1, Room 7",2021-02-18,blue,,blue,
175,391,"House 1, Floor 1, Room 7",2021-02-19,blue,,blue,
176,391,"House 1, Floor 1, Room 7",2021-02-20,blue,,blue,
177,391,"House 1, Floor 1, Room 7",2021-02-21,blue,,blue,
178,391,"House 1, Floor 1, Room 7",2021-02-22,blue,,blue,
179,391,"House 1, Floor 1, Room 7",2021-02-23,blue,,blue,
180,391,"House 1, Floor 1, Room 7",2021-02-24,blue,,blue,
163,391,"House 1, Floor 1, Room 7",2021-02-25,red,26.39,red,
0,391,"House 1, Floor 1, Room 7",2021-02-26,red,27.11,red,24.0
1,391,"House 1, Floor 1, Room 7",2021-02-27,red,25.37,red,15.0
2,391,"House 1, Floor 1, Room 7",2021-02-28,red,24.4,red,14.0
3,391,"House 1, Floor 1, Room 7",2021-03-01,red,25.22,red,16.0
4,391,"House 1, Floor 1, Room 7",2021-03-02,red,24.95,red,18.0
5,391,"House 1, Floor 1, Room 7",2021-03-03,green,24.56,red,14.0
6,391,"House 1, Floor 1, Room 7",2021-03-04,green,23.41,red,12.0
7,391,"House 1, Floor 1, Room 7",2021-03-05,red,23.39,red,12.0
8,391,"House 1, Floor 1, Room 7",2021-03-06,green,23.39,red,12.0
9,391,"House 1, Floor 1, Room 7",2021-03-07,green,23.06,red,10.0
10,391,"House 1, Floor 1, Room 7",2021-03-08,green,22.87,red,13.0
11,391,"House 1, Floor 1, Room 7",2021-03-09,green,23.03,red,12.0
12,391,"House 1, Floor 1, Room 7",2021-03-10,green,22.59,red,10.0
13,391,"House 1, Floor 1, Room 7",2021-03-11,green,21.65,red,9.0
14,391,"House 1, Floor 1, Room 7",2021-03-12,green,21.51,red,14.0
15,391,"House 1, Floor 1, Room 7",2021-03-13,green,21.08,red,14.0
16,391,"House 1, Floor 1, Room 7",2021-03-14,green,20.95,red,6.0
17,391,"House 1, Floor 1, Room 7",2021-03-15,green,21.17,red,15.0
18,391,"House 1, Floor 1, Room 7",2021-03-16,green,21.29,red,10.0
19,391,"House 1, Floor 1, Room 7",2021-03-17,green,20.62,red,8.0
20,391,"House 1, Floor 1, Room 7",2021-03-18,green,20.76,red,7.0
21,391,"House 1, Floor 1, Room 7",2021-03-19,green,21.42,red,6.0
22,391,"House 1, Floor 1, Room 7",2021-03-20,green,21.03,red,9.0
23,391,"House 1, Floor 1, Room 7",2021-03-21,yellow,21.29,red,7.0
24,391,"House 1, Floor 1, Room 7",2021-03-22,yellow,21.05,red,5.0
25,391,"House 1, Floor 1, Room 7",2021-03-23,green,20.03,red,4.0
26,391,"House 1, Floor 1, Room 7",2021-03-24,red,21.32,red,3.0
27,391,"House 1, Floor 1, Room 7",2021-03-25,green,20.79,red,4.0
28,391,"House 1, Floor 1, Room 7",2021-03-26,yellow,20.95,red,5.0
29,391,"House 1, Floor 1, Room 7",2021-03-27,yellow,22.53,red,3.0
30,391,"House 1, Floor 1, Room 7",2021-03-28,green,21.11,red,7.0
31,391,"House 1, Floor 1, Room 7",2021-03-29,red,20.66,red,8.0
32,391,"House 1, Floor 1, Room 7",2021-03-30,yellow,21.23,red,9.0
33,391,"House 1, Floor 1, Room 7",2021-03-31,yellow,21.06,red,12.0
34,391,"House 1, Floor 1, Room 7",2021-04-01,green,20.87,red,15.0
35,391,"House 1, Floor 1, Room 7",2021-04-02,green,20.4,red,20.0
36,391,"House 1, Floor 1, Room 7",2021-04-03,yellow,20.88,red,18.0
37,391,"House 1, Floor 1, Room 7",2021-04-04,yellow,22.11,red,26.0
38,391,"House 1, Floor 1, Room 7",2021-04-05,yellow,22.26,red,26.0
39,391,"House 1, Floor 1, Room 7",2021-04-06,yellow,23.1,yellow,49.0
40,391,"House 1, Floor 1, Room 7",2021-04-07,yellow,23.53,red,28.0
41,391,"House 1, Floor 1, Room 7",2021-04-08,red,21.14,green,72.0
42,391,"House 1, Floor 1, Room 7",2021-04-09,yellow,23.14,green,89.0
43,391,"House 1, Floor 1, Room 7",2021-04-10,red,20.75,green,84.0
44,391,"House 1, Floor 1, Room 7",2021-04-11,red,22.09,green,82.0
45,391,"House 1, Floor 1, Room 7",2021-04-12,green,21.85,green,74.0
46,391,"House 1, Floor 1, Room 7",2021-04-13,green,20.19,red,36.0
47,391,"House 1, Floor 1, Room 7",2021-04-14,green,20.95,yellow,44.0
48,391,"House 1, Floor 1, Room 7",2021-04-15,green,20.51,red,33.0
49,391,"House 1, Floor 1, Room 7",2021-04-16,green,20.0,yellow,46.0
50,391,"House 1, Floor 1, Room 7",2021-04-17,green,19.34,yellow,46.0
51,391,"House 1, Floor 1, Room 7",2021-04-18,green,20.96,red,37.0
52,391,"House 1, Floor 1, Room 7",2021-04-19,red,20.56,yellow,56.0
53,391,"House 1, Floor 1, Room 7",2021-04-20,green,19.23,red,36.0
54,391,"House 1, Floor 1, Room 7",2021-04-21,yellow,19.34,yellow,48.0
55,391,"House 1, Floor 1, Room 7",2021-04-22,red,19.77,yellow,44.0
56,391,"House 1, Floor 1, Room 7",2021-04-23,yellow,19.0,red,34.0
57,391,"House 1, Floor 1, Room 7",2021-04-24,yellow,18.84,red,32.0
58,391,"House 1, Floor 1, Room 7",2021-04-25,yellow,19.51,yellow,45.0
59,391,"House 1, Floor 1, Room 7",2021-04-26,green,21.78,red,36.0
60,391,"House 1, Floor 1, Room 7",2021-04-27,green,24.69,red,26.0
61,391,"House 1, Floor 1, Room 7",2021-04-28,green,22.71,green,64.0
62,391,"House 1, Floor 1, Room 7",2021-04-29,green,21.88,yellow,50.0
63,391,"House 1, Floor 1, Room 7",2021-04-30,yellow,22.26,yellow,43.0
64,391,"House 1, Floor 1, Room 7",2021-05-01,yellow,22.37,red,29.0
65,391,"House 1, Floor 1, Room 7",2021-05-02,green,21.62,red,33.0
66,391,"House 1, Floor 1, Room 7",2021-05-03,yellow,23.53,red,21.0
67,391,"House 1, Floor 1, Room 7",2021-05-04,green,20.55,yellow,48.0
68,391,"House 1, Floor 1, Room 7",2021-05-05,yellow,19.98,yellow,50.0
69,391,"House 1, Floor 1, Room 7",2021-05-06,red,19.93,red,36.0
70,391,"House 1, Floor 1, Room 7",2021-05-07,yellow,18.22,yellow,52.0
181,391,"House 1, Floor 1, Room 7",2021-05-08,green,,green,63.0
182,391,"House 1, Floor 1, Room 7",2021-05-09,yellow,,yellow,52.0
71,391,"House 1, Floor 1, Room 7",2021-05-10,red,20.21,yellow,44.0
72,391,"House 1, Floor 1, Room 7",2021-05-11,yellow,19.1,yellow,52.0
73,391,"House 1, Floor 1, Room 7",2021-05-12,red,19.38,yellow,55.0
74,391,"House 1, Floor 1, Room 7",2021-05-13,red,19.65,green,64.0
75,391,"House 1, Floor 1, Room 7",2021-05-14,yellow,20.31,yellow,55.0
76,391,"House 1, Floor 1, Room 7",2021-05-15,green,20.36,green,65.0
77,391,"House 1, Floor 1, Room 7",2021-05-16,green,22.4,green,64.0
78,391,"House 1, Floor 1, Room 7",2021-05-17,green,22.54,green,69.0
79,391,"House 1, Floor 1, Room 7",2021-05-18,green,21.85,green,68.0
80,391,"House 1, Floor 1, Room 7",2021-05-19,blue,23.49,yellow,56.0
81,391,"House 1, Floor 1, Room 7",2021-05-20,yellow,24.85,yellow,55.0
82,391,"House 1, Floor 1, Room 7",2021-05-21,yellow,24.94,green,68.0
83,391,"House 1, Floor 1, Room 7",2021-05-22,red,25.81,green,67.0
84,391,"House 1, Floor 1, Room 7",2021-05-23,yellow,26.51,green,67.0
85,391,"House 1, Floor 1, Room 7",2021-05-24,yellow,26.61,green,76.0
86,391,"House 1, Floor 1, Room 7",2021-05-25,green,26.65,green,75.0
87,391,"House 1, Floor 1, Room 7",2021-05-26,yellow,25.36,green,69.0
88,391,"House 1, Floor 1, Room 7",2021-05-27,green,23.64,green,77.0
89,391,"House 1, Floor 1, Room 7",2021-05-28,green,20.76,green,79.0
90,391,"House 1, Floor 1, Room 7",2021-05-29,yellow,19.02,green,87.0
91,391,"House 1, Floor 1, Room 7",2021-05-30,green,20.42,green,82.0
92,391,"House 1, Floor 1, Room 7",2021-05-31,yellow,21.99,green,80.0
93,391,"House 1, Floor 1, Room 7",2021-06-01,green,21.19,green,83.0
94,391,"House 1, Floor 1, Room 7",2021-06-02,green,33.08,green,80.0
95,391,"House 1, Floor 1, Room 7",2021-06-03,yellow,52.82,green,77.0
96,391,"House 1, Floor 1, Room 7",2021-06-04,yellow,25.3,green,85.0
97,391,"House 1, Floor 1, Room 7",2021-06-05,yellow,26.13,green,78.0
98,391,"House 1, Floor 1, Room 7",2021-06-06,green,25.47,green,82.0
99,391,"House 1, Floor 1, Room 7",2021-06-07,green,25.22,green,77.0
100,391,"House 1, Floor 1, Room 7",2021-06-08,green,24.37,green,83.0
101,391,"House 1, Floor 1, Room 7",2021-06-09,yellow,26.13,green,82.0
102,391,"House 1, Floor 1, Room 7",2021-06-10,yellow,27.77,green,86.0
103,391,"House 1, Floor 1, Room 7",2021-06-11,yellow,29.46,green,89.0
104,391,"House 1, Floor 1, Room 7",2021-06-12,yellow,30.67,green,86.0
105,391,"House 1, Floor 1, Room 7",2021-06-13,red,28.52,green,88.0
106,391,"House 1, Floor 1, Room 7",2021-06-14,red,28.01,green,83.0
107,391,"House 1, Floor 1, Room 7",2021-06-15,red,25.85,green,88.0
108,391,"House 1, Floor 1, Room 7",2021-06-16,red,25.84,green,85.0
109,391,"House 1, Floor 1, Room 7",2021-06-17,yellow,27.81,green,87.0
110,391,"House 1, Floor 1, Room 7",2021-06-18,yellow,31.18,green,91.0
111,391,"House 1, Floor 1, Room 7",2021-06-19,green,28.39,green,87.0
112,391,"House 1, Floor 1, Room 7",2021-06-20,green,29.79,green,87.0
113,391,"House 1, Floor 1, Room 7",2021-06-21,yellow,23.79,green,90.0
114,391,"House 1, Floor 1, Room 7",2021-06-22,yellow,22.23,green,83.0
115,391,"House 1, Floor 1, Room 7",2021-06-23,yellow,24.13,green,85.0
116,391,"House 1, Floor 1, Room 7",2021-06-24,green,25.82,green,85.0
117,391,"House 1, Floor 1, Room 7",2021-06-25,green,27.95,green,89.0
118,391,"House 1, Floor 1, Room 7",2021-06-26,yellow,28.91,green,90.0
119,391,"House 1, Floor 1, Room 7",2021-06-27,yellow,28.31,green,89.0
120,391,"House 1, Floor 1, Room 7",2021-06-28,green,27.78,green,95.0
121,391,"House 1, Floor 1, Room 7",2021-06-29,yellow,29.39,green,94.0
122,391,"House 1, Floor 1, Room 7",2021-06-30,yellow,27.22,green,94.0
123,391,"House 1, Floor 1, Room 7",2021-07-01,yellow,25.82,green,95.0
124,391,"House 1, Floor 1, Room 7",2021-07-02,yellow,22.92,green,83.0
125,391,"House 1, Floor 1, Room 7",2021-07-03,yellow,23.96,green,84.0
126,391,"House 1, Floor 1, Room 7",2021-07-04,yellow,25.95,green,93.0
127,391,"House 1, Floor 1, Room 7",2021-07-05,yellow,27.21,green,92.0
128,391,"House 1, Floor 1, Room 7",2021-07-06,yellow,28.23,green,95.0
129,391,"House 1, Floor 1, Room 7",2021-07-07,yellow,28.98,green,95.0
130,391,"House 1, Floor 1, Room 7",2021-07-08,yellow,27.53,green,96.0
131,391,"House 1, Floor 1, Room 7",2021-07-09,green,26.06,green,95.0
132,391,"House 1, Floor 1, Room 7",2021-07-10,green,24.35,green,91.0
133,391,"House 1, Floor 1, Room 7",2021-07-11,yellow,24.98,green,93.0
134,391,"House 1, Floor 1, Room 7",2021-07-12,green,25.47,green,92.0
135,391,"House 1, Floor 1, Room 7",2021-07-13,yellow,25.49,green,96.0
136,391,"House 1, Floor 1, Room 7",2021-07-14,yellow,26.77,green,93.0
137,391,"House 1, Floor 1, Room 7",2021-07-15,yellow,28.1,green,96.0
138,391,"House 1, Floor 1, Room 7",2021-07-16,green,24.49,green,94.0
