,Date (America/Chicago),"Maschhoff_HOTC_C_RM7 Temp shock - color
 (MO201901-6P8LLGNG)","Maschhoff_HOTC_C_RM7 Temp (°C) - data
 (MO201901-6P8LLGNG)","Maschhoff_HOTC_C_RM7 ReHS - color
 (MO201901-6P8LLGNG)","Maschhoff_HOTC_C_RM7 ReHS - data
 (MO201901-6P8LLGNG)","Maschhoff_HOTC_C_RM8 Temp shock - color
 (MO202001-5VW997BT)","Maschhoff_HOTC_C_RM8 Temp (°C) - data
 (MO202001-5VW997BT)","Maschhoff_HOTC_C_RM8 ReHS - color
 (MO202001-5VW997BT)","Maschhoff_HOTC_C_RM8 ReHS - data
 (MO202001-5VW997BT)","Maschhoff_HOTC_EC_RM7 Temp shock - color
 (MO201301-48J2HC6M)","Maschhoff_HOTC_EC_RM7 Temp (°C) - data
 (MO201301-48J2HC6M)","Maschhoff_HOTC_EC_RM7 ReHS - color
 (MO201301-48J2HC6M)","Maschhoff_HOTC_EC_RM7 ReHS - data
 (MO201301-48J2HC6M)","Maschhoff_HOTC_EC_RM8 Temp shock - color
 (MO202101-5HBHCH9K)","Maschhoff_HOTC_EC_RM8 Temp (°C) - data
 (MO202101-5HBHCH9K)","Maschhoff_HOTC_EC_RM8 ReHS - color
 (MO202101-5HBHCH9K)","Maschhoff_HOTC_EC_RM8 ReHS - data
 (MO202101-5HBHCH9K)","Maschhoff_HOTC_EE_RM7 Temp shock - color
 (MO202001-VWHX49GR)","Maschhoff_HOTC_EE_RM7 Temp (°C) - data
 (MO202001-VWHX49GR)","Maschhoff_HOTC_EE_RM7 ReHS - color
 (MO202001-VWHX49GR)","Maschhoff_HOTC_EE_RM7 ReHS - data
 (MO202001-VWHX49GR)","Maschhoff_HOTC_EE_RM8 Temp shock - color
 (MO201401-QHJLTHT9)","Maschhoff_HOTC_EE_RM8 Temp (°C) - data
 (MO201401-QHJLTHT9)","Maschhoff_HOTC_EE_RM8 ReHS - color
 (MO201401-QHJLTHT9)","Maschhoff_HOTC_EE_RM8 ReHS - data
 (MO201401-QHJLTHT9)","Maschhoff_HOTC_WC_RM7 Temp shock - color
 (MO201201-ZB856GBP)","Maschhoff_HOTC_WC_RM7 Temp (°C) - data
 (MO201201-ZB856GBP)","Maschhoff_HOTC_WC_RM7 ReHS - color
 (MO201201-ZB856GBP)","Maschhoff_HOTC_WC_RM7 ReHS - data
 (MO201201-ZB856GBP)","Maschhoff_HOTC_WC_RM8 Temp shock - color
 (MO201901-QVBMLZV7)","Maschhoff_HOTC_WC_RM8 Temp (°C) - data
 (MO201901-QVBMLZV7)","Maschhoff_HOTC_WC_RM8 ReHS - color
 (MO201901-QVBMLZV7)","Maschhoff_HOTC_WC_RM8 ReHS - data
 (MO201901-QVBMLZV7)","Maschhoff_HOTC_WW_RM7 Temp shock - color
 (MO201301-9V9PHSMB)","Maschhoff_HOTC_WW_RM7 Temp (°C) - data
 (MO201301-9V9PHSMB)","Maschhoff_HOTC_WW_RM7 ReHS - color
 (MO201301-9V9PHSMB)","Maschhoff_HOTC_WW_RM7 ReHS - data
 (MO201301-9V9PHSMB)","Maschhoff_HOTC_WW_RM8 Temp shock - color
 (MO202201-TTDCTLQN)","Maschhoff_HOTC_WW_RM8 Temp (°C) - data
 (MO202201-TTDCTLQN)","Maschhoff_HOTC_WW_RM8 ReHS - color
 (MO202201-TTDCTLQN)","Maschhoff_HOTC_WW_RM8 ReHS - data
 (MO202201-TTDCTLQN)"
0,2021-02-08,blue,,blue,,blue,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,green,,blue,,green,,blue,,green,,blue,
1,2021-02-09,blue,,blue,,blue,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,green,,blue,,green,,blue,,green,,blue,
2,2021-02-10,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,green,,blue,,green,,blue,,green,,blue,
3,2021-02-11,green,27.5,blue,,green,21.5,blue,,green,27.5,blue,,green,21.5,blue,,green,26.5,blue,,green,20.5,blue,,blue,,blue,,green,20.0,blue,,green,27.0,blue,,green,19.5,blue,
4,2021-02-12,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,blue,,blue,,green,,blue,,green,,blue,,green,,blue,
5,2021-02-13,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
6,2021-02-14,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
7,2021-02-15,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
8,2021-02-16,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
9,2021-02-17,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
10,2021-02-18,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
11,2021-02-19,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
12,2021-02-20,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
13,2021-02-21,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
14,2021-02-22,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
15,2021-02-23,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
16,2021-02-24,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
17,2021-02-25,green,24.5,green,,green,26.5,green,,yellow,27.5,yellow,,green,27.0,green,,red,30.0,red,,green,26.5,green,,red,,blue,,green,26.5,red,,green,23.5,green,,green,27.5,green,
18,2021-02-26,green,24.0,yellow,67.0,green,26.0,green,92.0,yellow,28.0,red,54.0,green,27.0,green,74.0,red,33.5,red,24.0,green,26.5,green,90.0,red,26.5,red,,green,26.0,red,30.0,green,23.0,yellow,69.0,green,27.0,red,66.0
19,2021-02-27,green,24.5,yellow,50.0,green,26.0,yellow,71.0,red,25.5,red,37.0,green,27.0,green,67.0,red,28.0,red,15.0,green,26.5,green,79.0,red,25.0,red,26.0,green,26.5,red,26.0,green,24.0,yellow,56.0,green,26.5,red,36.0
20,2021-02-28,green,24.5,green,48.0,green,26.0,green,56.0,yellow,24.5,yellow,32.0,green,27.5,green,68.0,red,25.0,red,14.0,green,26.5,green,73.0,red,24.0,red,25.0,green,26.5,red,27.0,green,24.0,green,54.0,green,27.0,green,33.0
