,Date (America/Chicago),"Masc_CON2_RM1_C Temp shock - color
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_C Temp (°C) - data
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_C ReHS - color
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_C ReHS - data
 (MO202001-PRXSQLHL)","Masc_CON2_RM1_E Temp shock - color
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_E Temp (°C) - data
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_E ReHS - color
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_E ReHS - data
 (MO201901-ZLBQ8MLB)","Masc_CON2_RM1_W Temp shock - color
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_W Temp (°C) - data
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_W ReHS - color
 (MO202101-FDHQ4HCS)","Masc_CON2_RM1_W ReHS - data
 (MO202101-FDHQ4HCS)","Masc_CON2_RM2_C Temp shock - color
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_C Temp (°C) - data
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_C ReHS - color
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_C ReHS - data
 (MO202101-HCX6C8CH)","Masc_CON2_RM2_E Temp shock - color
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_E Temp (°C) - data
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_E ReHS - color
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_E ReHS - data
 (MO201901-G5SZFQP7)","Masc_CON2_RM2_W Temp shock - color
 (MO201901-M27NVRN2)","Masc_CON2_RM2_W Temp (°C) - data
 (MO201901-M27NVRN2)","Masc_CON2_RM2_W ReHS - color
 (MO201901-M27NVRN2)","Masc_CON2_RM2_W ReHS - data
 (MO201901-M27NVRN2)"
0,2020-12-08,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
1,2020-12-09,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
2,2020-12-10,green,29.0,green,,green,29.0,green,,green,,green,,green,29.5,green,,green,31.0,green,,green,29.5,green,
3,2020-12-11,green,29.0,green,93.0,green,28.5,green,98.0,green,,green,,green,29.5,green,96.0,green,31.0,green,97.0,green,29.5,green,99.0
4,2020-12-12,green,29.0,green,94.0,green,29.0,green,95.0,green,,green,,green,29.5,green,97.0,green,30.0,green,98.0,green,29.0,green,96.0
5,2020-12-13,green,29.0,green,98.0,green,28.5,green,99.0,green,,green,,green,29.5,green,99.0,green,28.5,green,98.0,green,29.0,green,99.0
6,2020-12-14,green,29.0,green,98.0,green,28.5,green,98.0,green,,green,,green,29.5,green,99.0,green,28.0,green,96.0,green,28.5,green,99.0
7,2020-12-15,green,28.5,green,97.0,green,28.0,green,96.0,green,,green,,green,29.5,green,99.0,green,27.5,green,97.0,green,28.5,green,99.0
8,2020-12-16,green,28.0,green,96.0,green,28.0,green,98.0,green,,green,,green,29.0,green,99.0,green,28.0,green,97.0,green,28.5,green,99.0
9,2020-12-17,green,28.0,green,94.0,green,28.0,green,97.0,green,,green,,green,28.5,green,99.0,green,27.5,green,97.0,green,28.5,green,99.0
10,2020-12-18,green,27.5,green,94.0,green,28.0,green,98.0,green,,green,,green,28.5,green,99.0,green,27.5,green,98.0,green,28.5,green,99.0
11,2020-12-19,green,27.5,green,94.0,green,28.0,green,96.0,green,,green,,green,27.5,green,98.0,green,27.0,green,97.0,green,28.0,green,99.0
12,2020-12-20,green,27.0,green,97.0,green,27.5,green,97.0,green,,green,,green,27.0,green,97.0,green,27.0,green,98.0,green,28.0,green,98.0
13,2020-12-21,green,27.0,green,94.0,green,28.0,green,96.0,green,,green,,green,27.0,green,97.0,green,27.0,green,98.0,green,28.0,green,98.0
14,2020-12-22,green,26.0,green,96.0,green,27.5,green,99.0,green,,green,,green,26.5,green,96.0,green,26.5,green,96.0,green,27.5,green,98.0
