,Date (America/Chicago),"House 1, Floor 1, Room 1 Temperature shock - color","House 1, Floor 1, Room 1 Temperature - data","House 1, Floor 1, Room 1 ReHS - color","House 1, Floor 1, Room 1 ReHS - data","House 1, Floor 1, Room 2 Temperature shock - color","House 1, Floor 1, Room 2 Temperature - data","House 1, Floor 1, Room 2 ReHS - color","House 1, Floor 1, Room 2 ReHS - data"
22,2021-03-15,green,,blue,,green,,blue,
23,2021-03-16,green,,blue,,green,25.04,blue,
24,2021-03-17,yellow,,blue,,red,23.05,blue,
25,2021-03-18,yellow,,yellow,,red,23.45,yellow,76.0
26,2021-03-19,green,,green,,red,22.99,yellow,71.0
27,2021-03-20,green,,green,,green,22.51,yellow,46.0
28,2021-03-21,green,,yellow,,green,22.13,red,36.0
29,2021-03-22,yellow,,yellow,,green,22.5,red,26.0
30,2021-03-23,green,,yellow,,green,22.69,red,24.0
31,2021-03-24,yellow,,red,,green,22.67,red,18.0
32,2021-03-25,green,,red,,green,21.99,red,21.0
33,2021-03-26,green,,red,,green,21.37,red,28.0
34,2021-03-27,yellow,,red,,green,21.15,red,32.0
35,2021-03-28,green,,red,,green,20.8,red,29.0
36,2021-03-29,red,,yellow,,yellow,22.23,red,43.0
37,2021-03-30,green,,yellow,,yellow,20.75,red,37.0
38,2021-03-31,yellow,,yellow,,red,20.86,red,46.0
39,2021-04-01,green,,yellow,,green,21.31,red,52.0
40,2021-04-02,yellow,,green,,yellow,21.3,yellow,70.0
41,2021-04-03,red,,green,,red,22.06,red,69.0
42,2021-04-04,red,,green,,yellow,22.9,yellow,78.0
43,2021-04-05,yellow,,green,,green,24.32,yellow,88.0
44,2021-04-06,green,,green,,green,23.31,yellow,88.0
45,2021-04-07,green,,green,,green,21.1,yellow,80.0
46,2021-04-08,green,,green,,green,19.39,yellow,69.0
47,2021-04-09,green,,green,,green,19.53,yellow,73.0
48,2021-04-10,green,,green,,yellow,19.44,yellow,77.0
49,2021-04-11,yellow,,green,,yellow,19.41,green,82.0
50,2021-04-12,yellow,,green,,green,18.48,green,85.0
51,2021-04-13,green,,green,,green,17.85,green,86.0
52,2021-04-14,yellow,,green,,yellow,17.55,green,89.0
53,2021-04-15,green,,green,,green,17.68,green,89.0
54,2021-04-16,green,,green,,green,18.1,green,84.0
55,2021-04-17,green,,green,,green,18.15,green,87.0
56,2021-04-18,yellow,,green,,yellow,18.97,green,89.0
57,2021-04-19,green,,green,,yellow,16.65,green,86.0
58,2021-04-20,green,,green,,yellow,16.7,green,89.0
59,2021-04-21,green,,green,,yellow,16.86,green,92.0
60,2021-04-22,green,,green,,yellow,18.06,green,88.0
61,2021-04-23,yellow,,green,,yellow,18.8,green,92.0
62,2021-04-24,yellow,,green,,yellow,17.58,green,90.0
63,2021-04-25,green,,green,,yellow,19.03,green,93.0
64,2021-04-26,red,,green,,red,22.81,green,96.0
65,2021-04-27,yellow,,green,,yellow,19.96,green,98.0
66,2021-04-28,yellow,,green,,green,19.4,green,95.0
67,2021-04-29,red,,green,,yellow,19.45,green,91.0
68,2021-04-30,yellow,,green,,yellow,20.35,green,95.0
69,2021-05-01,red,,green,,red,25.47,green,98.0
70,2021-05-02,red,,green,,red,23.72,green,97.0
71,2021-05-03,yellow,,green,,yellow,20.37,green,95.0
72,2021-05-04,red,,green,,yellow,17.28,green,94.0
73,2021-05-05,yellow,,green,,yellow,17.58,green,95.0
74,2021-05-06,yellow,,green,,yellow,17.98,green,97.0
75,2021-05-07,yellow,,green,,yellow,16.21,green,98.0
76,2021-05-08,green,,green,,green,,green,97.0
77,2021-05-09,yellow,,green,,yellow,,green,96.0
78,2021-05-10,yellow,,green,,yellow,18.04,green,98.0
79,2021-05-11,yellow,,green,,yellow,17.24,green,97.0
80,2021-05-12,yellow,,green,,yellow,18.08,green,96.0
81,2021-05-13,green,,green,,yellow,19.1,green,99.0
82,2021-05-14,green,,green,,yellow,18.93,green,99.0
83,2021-05-15,yellow,,green,,yellow,20.5,green,99.0
84,2021-05-16,green,,green,,green,20.35,green,99.0
85,2021-05-17,green,,green,,green,20.16,green,98.0
86,2021-05-18,green,,green,,green,20.61,green,99.0
87,2021-05-19,blue,,green,,blue,22.17,green,96.0
88,2021-05-20,green,,green,,green,22.13,green,97.0
89,2021-05-21,yellow,,green,,yellow,23.75,green,99.0
90,2021-05-22,yellow,,green,,yellow,24.18,green,97.0
91,2021-05-23,yellow,,green,,yellow,24.88,green,97.0
92,2021-05-24,yellow,,green,,yellow,24.98,green,98.0
93,2021-05-25,red,,green,,red,24.91,green,98.0
94,2021-05-26,yellow,,green,,yellow,21.78,green,98.0
95,2021-05-27,green,,green,,green,19.01,green,99.0
96,2021-05-28,green,,green,,green,16.34,green,96.0
97,2021-05-29,green,,green,,yellow,17.9,green,93.0
98,2021-05-30,green,,green,,yellow,19.04,green,93.0
99,2021-05-31,red,,green,,red,20.09,green,96.0
100,2021-06-01,red,,green,,red,22.02,green,99.0
101,2021-06-02,red,,green,,red,22.5,green,98.0
102,2021-06-03,yellow,,green,,yellow,24.73,green,99.0
103,2021-06-04,red,,green,,yellow,27.46,green,99.0
104,2021-06-05,red,,green,,yellow,28.35,green,98.0
105,2021-06-06,green,,green,,green,26.05,green,96.0
106,2021-06-07,yellow,,green,,yellow,27.38,green,96.0
107,2021-06-08,red,,green,,red,27.3,green,99.0
108,2021-06-09,red,,green,,red,27.65,green,99.0
109,2021-06-10,yellow,,green,,yellow,29.16,green,98.0
110,2021-06-11,red,,green,,red,25.96,green,99.0
111,2021-06-12,red,,green,,red,24.32,green,98.0
112,2021-06-13,red,,green,,red,25.99,green,98.0
113,2021-06-14,red,,green,,red,24.56,green,99.0
114,2021-06-15,red,,green,,red,24.93,green,96.0
115,2021-06-16,red,,green,,red,26.6,green,99.0
116,2021-06-17,red,,green,,red,30.92,green,98.0
117,2021-06-18,red,,green,,red,25.89,green,98.0
118,2021-06-19,yellow,,green,,yellow,24.13,green,98.0
119,2021-06-20,red,,green,,red,23.83,green,98.0
120,2021-06-21,yellow,,green,,red,19.76,green,98.0
121,2021-06-22,red,,green,,red,21.81,green,99.0
122,2021-06-23,yellow,,green,,yellow,25.77,green,98.0
123,2021-06-24,green,,green,,green,25.42,green,99.0
124,2021-06-25,green,,green,,green,22.75,green,99.0
125,2021-06-26,green,,green,,green,20.87,green,98.0
126,2021-06-27,blue,,blue,,yellow,22.7,green,98.0
127,2021-06-28,blue,,blue,,yellow,23.67,green,99.0
128,2021-06-29,blue,,blue,,yellow,24.37,green,96.0
129,2021-06-30,blue,,blue,,red,24.13,green,98.0
130,2021-07-01,blue,,blue,,red,23.92,green,96.0
131,2021-07-02,blue,,blue,,red,24.42,green,99.0
132,2021-07-03,blue,,blue,,yellow,24.95,green,99.0
133,2021-07-04,blue,,blue,,yellow,26.81,green,99.0
134,2021-07-05,blue,,blue,,yellow,27.61,green,99.0
135,2021-07-06,blue,,blue,,yellow,27.0,green,99.0
136,2021-07-07,blue,,blue,,green,21.53,green,99.0
137,2021-07-08,blue,,blue,,green,20.6,green,97.0
138,2021-07-09,blue,,blue,,yellow,23.96,green,95.0
139,2021-07-10,blue,,blue,,green,21.0,green,98.0
140,2021-07-11,blue,,blue,,yellow,22.15,green,97.0
141,2021-07-12,blue,,blue,,yellow,22.03,green,97.0
142,2021-07-13,blue,,blue,,yellow,23.15,green,96.0
143,2021-07-14,blue,,blue,,green,23.38,green,99.0
144,2021-07-15,blue,,blue,,yellow,22.34,green,99.0
145,2021-07-16,blue,,blue,,yellow,22.07,green,99.0
146,2021-07-17,blue,,blue,,yellow,23.13,green,99.0
147,2021-07-18,blue,,blue,,red,23.16,green,99.0
148,2021-07-19,blue,,blue,,red,23.28,green,98.0
149,2021-07-20,blue,,blue,,red,23.57,green,98.0
150,2021-07-21,blue,,blue,,yellow,24.18,green,98.0
151,2021-07-22,blue,,blue,,yellow,25.2,green,99.0
152,2021-07-23,blue,,blue,,yellow,27.0,green,98.0
153,2021-07-24,blue,,blue,,red,27.06,green,97.0
154,2021-07-25,blue,,blue,,red,24.66,green,97.0
155,2021-07-26,red,,blue,,red,24.96,green,97.0
0,2021-07-27,yellow,29.91,blue,,yellow,27.65,green,99.0
1,2021-07-28,yellow,28.71,green,89.0,yellow,28.78,green,83.0
2,2021-07-29,yellow,27.22,green,90.0,yellow,26.97,green,92.0
3,2021-07-30,green,22.28,green,93.0,green,22.13,green,98.0
4,2021-07-31,yellow,23.71,green,96.0,yellow,23.14,green,97.0
5,2021-08-01,yellow,21.98,green,98.0,green,19.64,blue,
6,2021-08-02,green,17.46,blue,,green,,blue,
156,2021-08-03,green,,blue,,green,,blue,
157,2021-08-04,green,,blue,,green,,blue,
158,2021-08-05,green,,blue,,green,,blue,
159,2021-08-06,green,,blue,,green,,blue,
160,2021-08-07,green,,blue,,green,,blue,
161,2021-08-08,green,,blue,,green,,blue,
162,2021-08-09,green,,blue,,green,,blue,
163,2021-08-10,green,,blue,,green,,blue,
164,2021-08-11,green,,blue,,green,,blue,
165,2021-08-12,green,,blue,,green,,blue,
166,2021-08-13,green,,blue,,green,,blue,
167,2021-08-14,green,,blue,,green,,blue,
168,2021-08-15,green,,blue,,green,,blue,
169,2021-08-16,green,,blue,,green,,blue,
170,2021-08-17,green,,blue,,green,,blue,
171,2021-08-18,green,,blue,,green,,blue,
172,2021-08-19,green,,blue,,green,,blue,
173,2021-08-20,green,,blue,,green,,blue,
174,2021-08-21,green,,blue,,green,,blue,
175,2021-08-22,green,,blue,,green,,blue,
176,2021-08-23,green,,blue,,green,,blue,
177,2021-08-24,green,,blue,,green,,blue,
178,2021-08-25,green,,blue,,green,,blue,
179,2021-08-26,green,,blue,,green,,blue,
180,2021-08-27,green,,blue,,green,,blue,
181,2021-08-28,green,,blue,,green,,blue,
182,2021-08-29,green,,blue,,green,,blue,
7,2021-08-30,yellow,27.48,blue,,yellow,27.73,blue,
8,2021-08-31,green,25.16,green,74.0,yellow,25.73,green,83.0
9,2021-09-01,green,24.82,green,68.0,green,26.64,green,80.0
10,2021-09-02,green,24.97,green,67.0,green,25.58,green,72.0
11,2021-09-03,green,25.11,yellow,56.0,green,25.83,green,73.0
12,2021-09-04,green,25.14,yellow,50.0,green,25.74,green,79.0
13,2021-09-05,yellow,25.68,green,64.0,yellow,26.53,green,79.0
14,2021-09-06,green,26.43,green,64.0,green,27.46,green,76.0
15,2021-09-07,yellow,25.82,green,65.0,green,26.7,green,81.0
16,2021-09-08,yellow,24.61,yellow,54.0,green,25.88,yellow,55.0
17,2021-09-09,yellow,24.07,yellow,46.0,green,25.6,yellow,45.0
18,2021-09-10,yellow,25.47,red,36.0,yellow,26.47,red,36.0
19,2021-09-11,green,26.75,green,66.0,green,27.63,yellow,54.0
20,2021-09-12,yellow,24.74,green,68.0,yellow,25.95,yellow,52.0
21,2021-09-13,yellow,25.04,green,72.0,green,26.3,yellow,56.0
183,2021-09-14,yellow,23.69,yellow,55.0,yellow,25.18,yellow,54.0
184,2021-09-15,yellow,24.41,green,64.0,yellow,25.7,yellow,56.0
185,2021-09-16,green,26.38,yellow,51.0,green,27.29,green,69.0
186,2021-09-17,green,23.96,yellow,46.0,green,25.36,yellow,52.0
187,2021-09-18,green,25.28,red,32.0,green,26.18,yellow,52.0
188,2021-09-19,green,27.09,red,33.0,green,28.09,yellow,48.0
189,2021-09-20,green,23.86,red,22.0,green,25.7,yellow,43.0
190,2021-09-21,yellow,22.07,red,25.0,yellow,23.39,yellow,44.0
191,2021-09-22,yellow,22.14,red,26.0,yellow,23.36,red,30.0
192,2021-09-23,yellow,22.94,red,23.0,yellow,24.15,red,33.0
193,2021-09-24,yellow,21.7,red,22.0,yellow,23.38,red,31.0
194,2021-09-25,yellow,22.78,red,24.0,green,23.92,red,35.0
195,2021-09-26,red,23.95,red,28.0,yellow,25.15,red,22.0
196,2021-09-27,red,24.01,red,29.0,red,24.98,red,31.0
197,2021-09-28,red,25.03,red,29.0,yellow,26.09,red,34.0
198,2021-09-29,green,24.91,red,24.0,green,25.98,red,32.0
199,2021-09-30,green,25.06,red,17.0,yellow,26.05,red,31.0
200,2021-10-01,yellow,24.1,red,14.0,green,25.76,red,30.0
201,2021-10-02,green,22.74,red,8.0,green,24.79,red,24.0
202,2021-10-03,red,22.71,red,11.0,yellow,24.17,red,20.0
203,2021-10-04,red,21.83,red,18.0,yellow,22.57,red,20.0
204,2021-10-05,yellow,21.39,red,19.0,yellow,22.41,red,18.0
205,2021-10-06,yellow,21.88,red,24.0,green,22.86,red,18.0
