GlobalID,Temp_ReHS,ReHS,Color_ReHS,Site
4NL2_1_44186,NA,NA,NA,4NL2
4NL2_1_44187,NA,NA,NA,4NL2
4NL2_1_44188,NA,NA,NA,4NL2
4NL2_1_44189,NA,NA,NA,4NL2
4NL2_1_44190,NA,NA,NA,4NL2
4NL2_1_44191,NA,NA,NA,4NL2
4NL2_1_44192,NA,NA,NA,4NL2
4NL2_1_44193,NA,NA,NA,4NL2
4NL2_1_44194,NA,NA,NA,4NL2
4NL2_1_44195,NA,NA,NA,4NL2
4NL2_1_44196,NA,NA,NA,4NL2
4NL2_1_44197,NA,NA,NA,4NL2
4NL2_1_44198,NA,NA,NA,4NL2
4NL2_1_44199,NA,NA,NA,4NL2
4NL2_1_44200,NA,NA,NA,4NL2
4NL2_1_44201,56.900000000000006,NA,NA,4NL2
4NL2_1_44202,56.900000000000006,98.33333333333333,Green,4NL2
4NL2_1_44203,62,98.33333333333333,Green,4NL2
4NL2_1_44204,85.4,98.66666666666667,Green,4NL2
4NL2_1_44205,86.30000000000001,92.33333333333333,Green,4NL2
4NL2_1_44206,87.2,82,Green,4NL2
4NL2_1_44207,86,92.33333333333333,Green,4NL2
4NL2_1_44208,85.4,96.66666666666667,Green,4NL2
4NL2_1_44209,85.4,92.66666666666667,Green,4NL2
4NL2_1_44210,85.4,93.33333333333333,Green,4NL2
4NL2_1_44211,85.69999999999999,97.66666666666667,Green,4NL2
4NL2_1_44212,86,97.66666666666667,Green,4NL2
4NL2_1_44213,86,99,Green,4NL2
4NL2_1_44214,85.69999999999999,98,Green,4NL2
4NL2_1_44215,85.69999999999999,98.66666666666667,Green,4NL2
4NL2_1_44216,86.30000000000001,97.33333333333333,Green,4NL2
4NL2_1_44217,84.8,98.33333333333333,Green,4NL2
4NL2_1_44218,85.69999999999999,98.33333333333333,Green,4NL2
4NL2_1_44219,84.8,98.66666666666667,Green,4NL2
4NL2_1_44220,82.7,98,Green,4NL2
4NL2_1_44221,80.3,98.33333333333333,Green,4NL2
4NL2_1_44222,80.9,98.33333333333333,Green,4NL2
4NL2_1_44223,82.4,98,Green,4NL2
4NL2_1_44224,82.1,99,Green,4NL2
4NL2_1_44225,81.5,98.66666666666667,Green,4NL2
4NL2_1_44226,80,99,Green,4NL2
4NL2_1_44227,79.1,97.66666666666667,Green,4NL2
4NL2_1_44228,79.1,98.66666666666667,Green,4NL2
4NL2_1_44229,79.1,98.66666666666667,Green,4NL2
4NL2_1_44230,78.2,98.66666666666667,Green,4NL2
4NL2_1_44231,77.30000000000001,99,Green,4NL2
4NL2_1_44232,78.5,99,Green,4NL2
4NL2_1_44233,79.4,98,Green,4NL2
4NL2_1_44234,78.80000000000001,99,Green,4NL2
4NL2_1_44235,77.6,98.66666666666667,Green,4NL2
4NL2_1_44236,77,97.66666666666667,Green,4NL2
4NL2_1_44237,76.69999999999999,98.33333333333333,Green,4NL2
4NL2_1_44238,76.69999999999999,98,Green,4NL2
4NL2_1_44239,75.5,97.33333333333333,Green,4NL2
4NL2_1_44240,74.6,99,Green,4NL2
4NL2_1_44241,73.7,97.66666666666667,Green,4NL2
4NL2_1_44242,73.1,98.66666666666667,Green,4NL2
4NL2_1_44243,73.4,95.66666666666667,Green,4NL2
4NL2_1_44244,73.7,97.33333333333333,Green,4NL2
4NL2_1_44245,73.7,96.66666666666667,Green,4NL2
4NL2_1_44246,73.1,97,Green,4NL2
4NL2_1_44247,72.80000000000001,92,Green,4NL2
4NL2_1_44248,72.5,97.33333333333333,Green,4NL2
4NL2_1_44249,73.1,98,Green,4NL2
