Site,Room,Date,Age_days,Inventory,Euth,Dead,RMS_HiTemp,RMS_LowTemp,RMS_SetPoint,RMS_Water,VC_AveTemp,VC_HiTemp,VC_LowTemp,VC_SetTemp,VC_Water,Trt_Pen,Trt_Dex,"Trt_Ceftiofur_(Excede,Excenel,etc.)","Trt_Enroflaxin_(Baytril,Enrofloxin,Quelaxcin)","Trt_Tetracycline_(Biomycin,OTC,LA200)",Trt_Linco,Trt_Other,Trt_Total,Water_Med_YesNo,Water_Med_Type,Comments
4NL2,1South,4-Jan-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,51.5,55,33,0,0,0,0,0,0,0,0,0,,
4NL2,1South,5-Jan-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.4,55.4,55,0,0,0,0,0,0,0,0,0,0,,
4NL2,1South,6-Jan-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,55.2,55,0,0,0,0,0,0,0,0,0,0,,
4NL2,1South,7-Jan-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9,55.1,59,0,0,0,0,0,0,0,0,0,0,,
4NL2,1South,8-Jan-21,1,908,0,0,NA,NA,NA,NA,NA,87.4,68.7,79.9,0,0,0,0,0,0,0,0,0,0,,
4NL2,1South,9-Jan-21,2,908,0,0,87.4,68.7,79.9,36,NA,84.2,80.6,83.5,107,2,2,0,18,0,0,0,22,1,neo,
4NL2,1South,10-Jan-21,3,908,0,0,84.2,80.6,83.5,116,NA,84,80.3,83.5,125,1,1,0,20,0,0,0,22,1,neo,
4NL2,1South,11-Jan-21,4,2860,0,0,84,80.3,83.5,123,NA,83.9,80.6,83.5,189,1,1,0,18,0,0,0,20,1,neo,
4NL2,1South,12-Jan-21,5,2860,0,0,83.9,80.6,83.5,246,NA,83.6,80.8,83.5,478,4,4,0,46,0,0,0,54,1,neo,
4NL2,1South,13-Jan-21,6,2860,0,0,83.6,80.8,83.5,495,NA,83.6,80.9,83.5,517,6,6,0,47,0,0,0,59,1,neo,
4NL2,1South,14-Jan-21,7,2859,0,1,83.6,80.9,83.5,502,NA,83.3,80.6,83.3,527,7,7,0,55,0,0,0,69,1,neo,
4NL2,1South,15-Jan-21,8,2858,1,0,83.3,80.6,83.3,540,NA,83.1,80.4,83.2,578,4,4,0,39,0,0,0,47,1,neo,
4NL2,1South,16-Jan-21,9,2858,0,0,83.1,80.4,83.2,559,NA,83.2,80.2,83.1,608,6,6,0,37,0,0,0,49,0,,
4NL2,1South,17-Jan-21,10,2858,0,0,83.2,80.2,83.1,609,NA,82.7,80,83,674,8,8,0,45,0,0,0,61,0,,
4NL2,1South,18-Jan-21,11,2858,0,0,82.7,80,83,676,NA,82.6,79.9,82.9,720,4,4,0,49,0,0,0,57,0,,
4NL2,1South,19-Jan-21,12,2858,0,0,82.6,79.9,82.9,710,NA,82.5,79.8,82.8,783,0,48,48,35,0,0,0,131,0,,
4NL2,1South,20-Jan-21,13,2857,0,1,82.5,79.8,82.8,796,NA,82.6,79.6,82.6,920,0,76,76,19,0,0,0,171,1,amox,
4NL2,1South,21-Jan-21,14,2857,0,0,82.6,79.6,82.6,936,NA,82.4,79.7,82.5,1013,0,91,91,19,0,0,0,201,1,amox,
4NL2,1South,22-Jan-21,15,2856,0,1,82.4,79.7,82.5,1035,NA,82.1,78.9,82.1,1087,0,74,74,17,0,0,0,165,1,amox,
4NL2,1South,23-Jan-21,16,2855,1,0,82.1,78.9,82.1,1099,NA,81.3,78.5,81.5,1168,0,63,63,16,0,0,0,142,1,amox,
4NL2,1South,24-Jan-21,17,2854,0,1,81.3,78.5,81.5,1147,NA,80.9,77.6,80.9,1155,0,61,61,6,0,0,0,128,1,amox,
4NL2,1South,25-Jan-21,18,2852,0,2,80.9,77.6,80.9,1148,NA,80.5,77.1,80.3,1144,0,28,28,65,0,0,0,121,1,amox,
4NL2,1South,26-Jan-21,19,2852,0,0,80.5,77.1,80.3,1164,78,79.7,75.1,79.8,1178,0,29,29,56,0,0,0,114,1,amox,
4NL2,1South,27-Jan-21,20,2851,1,0,79.7,75.1,79.8,1134,77.3,79.2,75.7,79.4,1142,0,41,41,33,0,0,0,115,0,,
4NL2,1South,28-Jan-21,21,2848,2,1,79.2,75.7,79.4,1153,77.1,80.4,75.5,79,1226,0,44,44,59,0,0,0,147,0,,
4NL2,1South,29-Jan-21,22,2848,0,0,80.4,75.5,79,1228,77,78.3,76.2,78.6,1198,23,79,56,8,0,0,0,166,0,,
4NL2,1South,30-Jan-21,23,2848,0,0,78.3,76.2,78.6,1236,76.9,78,76.3,78.3,1279,21,91,70,6,0,0,0,188,0,,
4NL2,1South,31-Jan-21,24,2845,1,2,78,76.3,78.3,1275,76.8,77.8,76.1,77.9,1351,35,146,44,2,0,0,0,227,1,CTC,
4NL2,1South,1-Feb-21,25,2844,0,1,77.8,76.1,77.9,1374,76.6,77.8,76.1,77.5,1454,47,182,135,1,0,0,0,365,1,CTC,
4NL2,1South,2-Feb-21,26,2843,0,1,77.8,76.1,77.5,1470,76.1,77.7,75.4,77.1,1507,43,141,94,2,0,0,0,280,1,CTC,
4NL2,1South,3-Feb-21,27,2841,0,2,77.7,75.4,77.1,1516,75.9,77.8,74.8,76.8,1550,27,114,87,6,0,0,0,234,1,CTC,
4NL2,1South,4-Feb-21,28,2838,0,3,77.8,74.8,76.8,1533,75.4,77.4,73.6,76.5,1490,30,109,79,4,0,0,0,222,1,CTC,
4NL2,1South,5-Feb-21,29,2834,0,4,77.4,73.6,76.5,1432,74.4,76,73.4,76.1,1584,26,139,113,6,0,0,0,284,1,CTC,
4NL2,1South,6-Feb-21,30,2832,0,2,76,73.4,76.1,1720,74.1,75.5,73.1,75.8,1455,67,102,35,24,0,0,0,228,1,CTC,
4NL2,1South,7-Feb-21,31,2831,0,1,75.5,73.1,75.8,1408,73.8,75.6,72.9,75.5,1483,52,73,21,87,0,0,0,233,1,kpen,
4NL2,1South,8-Feb-21,32,2829,1,1,75.6,72.9,75.5,1491,73.7,74.8,73,75.1,1488,37,37,0,72,0,0,0,146,1,kpen,
4NL2,1South,9-Feb-21,33,2827,1,1,74.8,73,75.1,1503,73.3,75.2,72.3,74.7,1585,0,98,98,4,0,0,0,200,1,kpen,
4NL2,1South,10-Feb-21,34,2826,0,1,75.2,72.3,74.7,1626,72.9,74.4,72.1,74.2,1708,35,93,58,3,0,0,0,189,1,kpen,
4NL2,1South,11-Feb-21,35,2824,1,1,74.4,72.1,74.2,1729,72.5,74.2,71.6,73.7,1793,40,117,77,6,0,0,0,240,1,kpen,
4NL2,1South,12-Feb-21,36,2821,3,0,74.2,71.6,73.7,1782,72.1,74.1,71.3,73.2,1832,36,1127,91,4,0,0,0,1258,1,kpen,
4NL2,1South,13-Feb-21,37,2821,0,0,74.1,71.3,73.2,1826,71.6,73.5,70.5,72.7,1861,32,32,0,96,0,0,0,160,1,kpen,
4NL2,1South,14-Feb-21,38,2821,0,0,73.5,70.5,72.7,1845,71.1,72.9,70.1,72.2,1890,17,124,107,8,0,0,0,256,1,kpen,
4NL2,1South,15-Feb-21,39,2820,1,0,72.9,70.1,72.2,1871,70.9,72.6,70.1,71.7,1974,12,106,94,4,0,0,0,216,1,kpen,
4NL2,1South,16-Feb-21,40,2819,0,1,72.6,70.1,71.7,1991,70.9,72.6,69.9,71.4,1978,10,81,71,6,0,0,0,168,1,kpen,
4NL2,1South,17-Feb-21,41,2816,0,3,72.6,69.9,71.4,1954,70.8,73,69.6,71.3,2026,12,112,100,20,0,0,0,244,0,,
4NL2,1South,18-Feb-21,42,2816,0,0,73,69.6,71.3,2045,71.3,73.4,70.3,71.3,2132,9,103,94,11,0,0,0,217,0,,
4NL2,1South,19-Feb-21,43,2812,3,1,73.4,70.3,71.3,2129,71.1,73.4,70.4,71.2,1981,12,102,90,10,0,0,0,214,0,,PCV2 Vaccine
4NL2,1South,20-Feb-21,44,2810,0,2,73.4,70.4,71.2,1885,71.5,73.4,70.4,71.1,1787,7,48,41,4,0,0,0,100,0,,PCV2 Vaccine
4NL2,1South,21-Feb-21,45,2810,0,0,73.4,70.4,71.1,1964,71.7,73.8,70.6,71,2414,9,60,51,9,0,0,0,129,0,,
4NL2,1South,22-Feb-21,46,2809,0,1,73.8,70.6,71,2361,72.2,74.6,71.2,70.9,2249,0,19,19,0,0,0,0,38,0,,
4NL2,1South,23-Feb-21,47,2807,0,2,74.6,71.2,70.9,2207,73.1,75.3,71.4,70.9,2243,2,30,28,5,0,0,0,65,0,,
4NL2,1South,24-Feb-21,48,2807,0,0,75.3,71.4,70.9,2268,73.2,75.2,71.3,70.8,2371,4,44,40,6,0,0,0,94,0,,
4NL2,1South,25-Feb-21,49,2806,0,1,75.2,71.3,70.8,2399,72.4,75.2,71,70.7,2467,7,56,49,5,0,0,0,117,0,,
4NL2,1South,26-Feb-21,50,2805,0,1,75.2,71,70.7,2465,72.8,75.3,71.3,70.6,2558,13,53,40,4,0,0,0,110,0,,
4NL2,1South,27-Feb-21,51,2805,0,0,75.3,71.3,70.6,2566,73.5,75.7,72.2,70.5,2642,5,65,60,2,0,0,0,132,0,,
4NL2,1South,28-Feb-21,52,2805,0,0,75.7,72.2,70.5,2662,73.4,75.3,72.4,70.5,2677,14,61,47,0,0,0,0,122,0,,
4NL2,1South,1-Mar-21,53,2804,1,0,75.3,72.4,70.5,2627,72.5,75,70.8,70.4,2591,9,49,40,3,0,0,0,101,0,,
4NL2,1South,2-Mar-21,54,2802,0,2,75,70.8,70.4,2662,72.5,75.2,70.6,70.3,3041,11,11,0,31,0,0,0,53,0,,
4NL2,1South,3-Mar-21,55,2801,0,1,75.2,70.6,70.3,3119,73.7,76.7,71.9,70.2,3090,15,15,0,35,0,0,0,65,0,,
4NL2,1South,4-Mar-21,56,2797,1,3,76.7,71.9,70.2,3081,73,74.9,71.9,70.2,2999,11,11,0,45,0,0,0,67,0,,
4NL2,1South,5-Mar-21,57,2795,0,2,74.9,71.9,70.2,2973,72.9,75.2,71.6,70.1,2935,12,12,0,42,0,0,0,66,0,,
4NL2,1South,6-Mar-21,58,2795,0,0,75.2,71.6,70.1,2957,73.6,76.8,71.9,70,2973,7,7,0,44,0,0,0,58,0,,
4NL2,1South,7-Mar-21,59,2793,0,2,76.8,71.9,70,2938,73.7,78,71.4,69.9,2850,2,2,0,57,0,0,0,61,1,asprin,
4NL2,1South,8-Mar-21,60,2773,19,1,78,71.4,69.9,2823,74.9,79.3,72.8,69.8,2738,27,27,0,57,0,0,0,111,1,asprin,
4NL2,1South,9-Mar-21,61,2771,0,2,79.3,72.8,69.8,2718,75.4,79,72.6,69.8,2726,5,5,0,50,0,0,0,60,1,Ctc,
4NL2,1South,10-Mar-21,62,2770,0,1,79,72.6,69.8,2640,75.8,78.8,73.1,69.7,2991,10,10,0,54,0,0,0,74,1,Ctc,
4NL2,1South,11-Mar-21,63,2768,0,2,78.8,73.1,69.7,3153,73.8,76.3,71.9,69.6,3030,9,9,0,45,0,0,0,63,1,Ctc,
4NL2,1South,12-Mar-21,64,2768,0,0,76.3,71.9,69.6,2954,73.5,76.2,72.1,69.5,2993,4,4,0,35,0,0,0,43,1,Ctc,
4NL2,1South,13-Mar-21,65,2768,0,0,76.2,72.1,69.5,2980,74,77.7,72.2,69.4,3128,3,3,0,14,0,0,0,20,1,Ctc,
4NL2,1South,14-Mar-21,66,2768,0,0,77.7,72.2,69.4,3164,73.3,75.2,72.3,69.4,3067,3,3,0,19,0,0,0,25,1,Ctc,
4NL2,1South,15-Mar-21,67,1881,0,1,75.2,72.3,69.4,3151,71.9,75.8,69.3,69.3,2439,0,0,0,14,0,0,0,14,0,,Shipped out 886
4NL2,1South,16-Mar-21,68,1873,8,0,75.8,69.3,69.3,2266,66,73.7,55.5,60.7,829,0,0,0,0,0,0,0,0,0,,Emptied
4NL2,1South,17-Mar-21,NA,NA,NA,NA,NA,NA,NA,NA,54.2,56,52.6,51.8,0,0,0,0,0,0,0,0,0,0,,
