Order,GlobalID,Site,Site_NumericDate,Room,OldRoom,Site_Room,Turn,Site_Room_Turn,CalendarDate,NumericDate,Variable,Value
1,4NL2_1_44204,4NL2,4NL2_44204,1,1South,4NL2_1,1,4NL2_1_1,2021-01-08,44204,WaterDispVC,0
1,4NL2_1_44204,4NL2,4NL2_44204,1,1South,4NL2_1,1,4NL2_1_1,2021-01-08,44204,WaterDispHdVC,0
2,4NL2_1_44205,4NL2,4NL2_44205,1,1South,4NL2_1,1,4NL2_1_1,2021-01-09,44205,WaterDispRMS,36
2,4NL2_1_44205,4NL2,4NL2_44205,1,1South,4NL2_1,1,4NL2_1_1,2021-01-09,44205,WaterDispHdRMS,0.039647577092511016
4,4NL2_1_44207,4NL2,4NL2_44207,1,1South,4NL2_1,1,4NL2_1_1,2021-01-11,44207,WaterDispRMS,123
4,4NL2_1_44207,4NL2,4NL2_44207,1,1South,4NL2_1,1,4NL2_1_1,2021-01-11,44207,WaterDispHdRMS,0.043006993006993004
4,4NL2_1_44207,4NL2,4NL2_44207,1,1South,4NL2_1,1,4NL2_1_1,2021-01-11,44207,WaterDispVC,189
4,4NL2_1_44207,4NL2,4NL2_44207,1,1South,4NL2_1,1,4NL2_1_1,2021-01-11,44207,WaterDispHdVC,0.06608391608391609
5,4NL2_1_44208,4NL2,4NL2_44208,1,1South,4NL2_1,1,4NL2_1_1,2021-01-12,44208,WaterDispRMS,246
5,4NL2_1_44208,4NL2,4NL2_44208,1,1South,4NL2_1,1,4NL2_1_1,2021-01-12,44208,WaterDispHdRMS,0.08601398601398601
36,4NL2_1_44239,4NL2,4NL2_44239,1,1South,4NL2_1,1,4NL2_1_1,2021-02-12,44239,Dexamethasone,1127
36,4NL2_1_44239,4NL2,4NL2_44239,1,1South,4NL2_1,1,4NL2_1_1,2021-02-12,44239,DexamethasoneProportion,0.39950372208436724
36,4NL2_1_44239,4NL2,4NL2_44239,1,1South,4NL2_1,1,4NL2_1_1,2021-02-12,44239,SecondaryRespiratory,1163
36,4NL2_1_44239,4NL2,4NL2_44239,1,1South,4NL2_1,1,4NL2_1_1,2021-02-12,44239,SecondaryRespiratoryProportion,0.4122651542006381
36,4NL2_1_44239,4NL2,4NL2_44239,1,1South,4NL2_1,1,4NL2_1_1,2021-02-12,44239,TotalTreatments,1258
36,4NL2_1_44239,4NL2,4NL2_44239,1,1South,4NL2_1,1,4NL2_1_1,2021-02-12,44239,TotalTreatmentsProportion,0.44594115561857495
69,4NL2_1_44286,4NL2,4NL2_44286,1,1South,4NL2_1,2,4NL2_1_2,2021-03-31,44286,WaterDispVC,54
69,4NL2_1_44286,4NL2,4NL2_44286,1,1South,4NL2_1,2,4NL2_1_2,2021-03-31,44286,WaterDispHdVC,0.04251968503937008
70,4NL2_1_44287,4NL2,4NL2_44287,1,1South,4NL2_1,2,4NL2_1_2,2021-04-01,44287,WaterDispRMS,87
