Site,Variable,N,N_missing,Mean,Median,SD,Minimum,Maximum
4NL2,AvgTempSetPointDeviationVC,1023,45,4.15982,4.1,4.506251,-3.5,21.1
4NL2,AvgTempVC,1023,40,74.8822,74.9,5.555647,58.4,87.6
4NL2,Ceftiofur,1023,2,9.46033,0,26.492464,0,271
4NL2,CeftiofurProportion,1023,2,0.00321,0,0.008939,0,0.09429
4NL2,Days,1023,1,65.67025,53,47.866262999999996,1,171
4NL2,Dead,1023,2,0.65426,0,1.096766,0,7
4NL2,DeadProportion,1023,2,2.6e-4,0,4.39e-4,0,0.00298
4NL2,Dexamethasone,1023,2,19.51518,0,39.894162,0,306
4NL2,DexamethasoneProportion,1023,2,0.00836,0,0.014506,0,0.10647
4NL2,Enroflaxin,1023,2,16.57982,5,23.914733,0,170
4NL2,EnroflaxinProportion,1023,2,0.00668,0.00178,0.00956,0,0.06528
4NL2,Euth,1023,2,0.31636,0,1.259792,0,19
4NL2,EuthProportion,1023,2,1.5e-4,0,6.46e-4,0,0.00881
4NL2,HiTempRMS,1023,3,79.11863,78.85,6.803959,60,95
4NL2,HiTempSetPointDeviationRMS,1023,3,7.91902,7.05,6.836002,-1.9,33.8
4NL2,HiTempSetPointDeviationVC,1023,7,7.86299,7,6.659409,-1.8,32.1
4NL2,HiTempVC,1023,2,79.04378,78.8,6.784834,60.1,95
4NL2,Inventory,1023,1,2167.16047,2834,923.775623,13,3328
4NL2,InventoryChange,1023,2,11.42703,0,223.052609,-2307,1952
4NL2,Lincomycin,1023,2,3.24486,0,6.636854,0,37
4NL2,LincomycinProportion,1023,2,0.00275,0,0.00553,0,0.03083
4NL2,LowTempRMS,1023,3,71.98892,72,5.24385,49.8,82.8
4NL2,LowTempSetPointDeviationRMS,1023,3,0.78931,1.2,3.748878,-28.4,17
4NL2,LowTempSetPointDeviationVC,1023,7,0.80866,1.2,3.457671,-18.1,12.5
4NL2,LowTempVC,1023,2,71.93585,71.9,5.393035,49.8,84.7
4NL2,Marketing,1023,1,0.12035,0,0.325532,0,1
4NL2,MidPointTempRMS,1023,3,75.55377,75.95,5.610228,54.9,88.7
4NL2,MidPointTempSetPointDeviationRMS,1023,3,4.35417,4.075,4.997124,-13.75,25.3
4NL2,OtherTreatments,1023,2,0,0,0,0,0
4NL2,OtherTreatmentsProportion,1023,2,0,0,0,0,0
4NL2,Penicillin,1023,2,21.15279,8,25.557167,0,136
4NL2,PenicillinProportion,1023,2,0.00754,0.00286,0.009065,0,0.04529
4NL2,PrimaryRespiratory,1023,2,26.04016,11,34.442498,0,275
4NL2,PrimaryRespiratoryProportion,1023,2,0.00989,0.0042,0.012402,0,0.09569
4NL2,SecondaryRespiratory,1023,2,43.91283,35,46.471721,0,341
4NL2,SecondaryRespiratoryProportion,1023,2,0.01864,0.01478,0.016363,0,0.11865
4NL2,SetPointRMS,1023,2,71.2093,70.3,6.716658,60,83.5
4NL2,SetPointVC,1023,7,71.1251,70.2,6.626217,60,83.5
4NL2,TempRangeRMS,1023,3,7.12971,5.7,4.656719,1.3,34.1
4NL2,TempRangeVC,1023,2,7.10793,5.5,4.675949,1.3,35
4NL2,Tetracycline,1023,2,0,0,0,0,0
4NL2,TetracyclineProportion,1023,2,0,0,0,0,0
4NL2,TotalInventoryChange,1023,4,16.5103,-1,319.009929,-2889,2166
4NL2,TotalMortality,1023,2,0.97062,0,1.760993,0,20
