Variable,N,N_missing,Mean,Median,SD,Minimum,Maximum
AvgTempSetPointDeviationVC,5676,742,5.6321,4.3,5.93633,-14.4,35.34549
AvgTempVC,5676,710,74.03595,73.9,6.063324,43.9,91.20936
Ceftiofur,5676,5,5.37648,0,25.922287,0,627
CeftiofurProportion,5676,9,0.00201,0,0.008912,0,0.19854
Days,5676,0,80.82082,76,50.843505,1,210
Dead,5676,15,0.59283,0,1.36193,0,25
DeadProportion,5676,18,4e-4,0,0.001253,0,0.02298
Dexamethasone,5676,5,5.88626,0,20.961498,0,325
DexamethasoneProportion,5676,9,0.00284,0,0.010351,0,0.32598
Enroflaxin,5676,5,6.50573,0,19.156064,0,325
EnroflaxinProportion,5676,9,0.00302,0,0.009722,0,0.32598
Euth,5676,13,0.48172,0,1.778629,0,44
EuthProportion,5676,16,4.2e-4,0,0.003884,0,0.25
HiTempRMS,5676,52,78.0418,77.4,7.424465,57.4,99.7
HiTempSetPointDeviationRMS,5676,53,9.16934,6.6,8.210214,-7.6,42.5
HiTempSetPointDeviationVC,5676,704,10.80548,8.9322,8.243522,-11.3,42.035
HiTempVC,5676,672,79.31997,78.9615,7.478501,45.4,100.304
Inventory,5676,5,1793.63499,1756,889.588972,0,4317
InventoryChange,5676,8,5.66284,0,176.670237,-2307,1952
Lincomycin,5676,5,3.5015,0,10.736016,0,134
LincomycinProportion,5676,9,0.00214,0,0.006129,0,0.0744
LowTempRMS,5676,52,70.7457,70.3,5.194681,37.8,84.2
LowTempSetPointDeviationRMS,5676,53,1.8732,1.4,4.389453,-28.4,32.1
LowTempSetPointDeviationVC,5676,704,0.66404,0.1,4.893808,-27.9462,28.7685
LowTempVC,5676,672,69.17008,69.4,6.325701,34.5538,84.8301
Marketing,5676,0,0.13795,0,0.344877,0,1
MidPointTempRMS,5676,52,74.39375,74.4,5.866283,50.95,89.7
MidPointTempSetPointDeviationRMS,5676,53,5.52127,4.1,6.05771,-13.75,37.25
OtherTreatments,5676,5,0.52213,0,6.170233,0,170
OtherTreatmentsProportion,5676,9,4.6e-4,0,0.005629,0,0.16798
Penicillin,5676,5,4.31476,0,14.838158,0,179
PenicillinProportion,5676,9,0.00158,0,0.005209,0,0.05851
PrimaryRespiratory,5676,5,13.32816,0,32.361887,0,627
PrimaryRespiratoryProportion,5676,9,0.00577,0,0.013303,0,0.32598
SecondaryRespiratory,5676,5,13.70252,0,30.525865,0,341
SecondaryRespiratoryProportion,5676,9,0.00656,0,0.0143,0,0.332
SetPointRMS,5676,45,68.87347,67.3,6.859742,45.4,89
SetPointVC,5676,45,68.78368,67.3,6.893558,45,89
TempRangeRMS,5676,52,7.2961,5.5,5.153805,-3.5,34.1
TempRangeVC,5676,672,10.14988,9.1856,5.861433,-7.3,41.1
Tetracycline,5676,5,1.44595,0,8.098198,0,180
TetracyclineProportion,5676,9,7.4e-4,0,0.003898,0,0.07609
TotalInventoryChange,5676,16,5.35724,-1,248.131378,-2897,2545
TotalMortality,5676,15,1.07472,0,2.746195,0,55
TotalMortalityProportion,5676,18,8.1e-4,0,0.004397,0,0.25
TotalTreatments,5676,5,27.55281,6,50.824562,0,656
TotalTreatmentsProportion,5676,9,0.01278,0.00359,0.023213,0,0.65797
WaterDispHdRMS,5676,453,Inf,1.21341,NA,9.5e-4,Inf
WaterDispHdVC,5676,1497,Inf,1.25559,NA,0,Inf
WaterDispRMS,5676,453,1871.44649,1947,981.465971,1,8350
WaterDispVC,5676,1496,1769.94737,1865.5,1017.916046,0,6759
WaterMedications,5676,5,0.10598,0,0.307836,0,1
