"ModelName","ModelAIC","Time_to_Convergence"
"Level1_glm",6346.91733764457,0.066368579864502
"Level1_oinv_glm",6035.12653668494,0.207704067230225
"Level1_inv_glm",6034.08203768658,0.326784372329712
"Level2_a_glm",6133.27853676481,0.178792715072632
"Level2_a_oinv_glm",5990.48650116445,0.255272150039673
"Level2_a_inv_glm",5988.7804409969,0.370413541793823
"Level2_b_glm",6134.38831425556,0.263629913330078
"Level2_b_oinv_glm",5984.81588242297,0.316238641738892
"Level2_b_inv_glm",5984.99190589869,0.430234670639038
"Level2_c_glm",6105.9877457758,0.377344608306885
"Level2_c_oinv_glm",5967.06113775412,0.531423568725586
"Level2_c_inv_glm",5965.59645874004,0.509539842605591
"Level3_a_glmer",6006.30594878624,19.5426118373871
"Level3_a_oinv_glmer",5898.36652530133,22.5385627746582
"Level3_a_inv_glmer",5899.05946993073,37.3567051887512
"Level3_b_glmer",5973.80801347219,84.7159061431885
"Level3_b_oinv_glmer",5864.99574195899,169.481352090836
"Level3_b_inv_glmer",5866.88051836764,223.843536615372
"Level3_c_glmer",6049.46184614233,153.004017591476
"Level3_c_oinv_glmer",5842.29501417493,954.072088718414
"Level3_c_inv_glmer",5946.57947489973,245.62180018425
"Level4_a_glmer",5944.61670563387,18.9188904762268
"Level4_a_oinv_glmer",5857.24550688272,30.7325854301453
"Level4_a_inv_glmer",5859.22728489376,33.8603417873383
"Level4_b_glmer",5928.33992162684,156.608380556107
"Level4_b_oinv_glmer",5808.32593832781,115.556695699692
"Level4_b_inv_glmer",5808.10466548784,217.922370433807
"Level4_c_glmer",5844.14267992359,770.680644273758
