"ModelName","ModelAIC","Time_to_Convergence"
"Level1_glm",17040.0920150113,0.0552561283111572
"Level1_oinv_glm",103883.55782102,0.156232595443726
"Level1_inv_glm",16482.5795851498,0.192618131637573
"Level2_a_glm",16106.3074880657,0.196913719177246
"Level2_a_oinv_glm",15844.7324858884,0.198012828826904
"Level2_a_inv_glm",15791.3720915319,0.224553346633911
"Level2_b_oinv_glm",15674.0564258616,0.252817153930664
"Level2_b_inv_glm",15635.6468174882,0.3305823802948
"Level2_c_glm",15856.3251495422,0.273986101150513
"Level2_c_oinv_glm",15637.1266778074,0.345121622085571
"Level2_c_inv_glm",15616.6787712875,0.321034908294678
"Level3_a_glmer",15553.7975791267,24.5876271724701
"Level3_a_oinv_glmer",15392.6911663144,26.8748300075531
"Level3_a_inv_glmer",15366.7916377867,47.6444809436798
"Level3_b_glmer",27628.6261133255,108.803086042404
"Level3_b_oinv_glmer",15023.8888438182,189.866866588593
"Level3_b_inv_glmer",15024.7287878657,279.238004207611
"Level4_a_glmer",15090.1571649334,23.7759757041931
"Level4_a_oinv_glmer",15043.6532385274,28.1312024593353
"Level4_a_inv_glmer",15045.6448977759,43.3256261348724
