"ModelName","ModelAIC","Time_to_Convergence"
"Level1_glm",212164.340552101,0.0179073810577393
"Level1_oinv_glm",157338.602397391,0.0167856216430664
"Level1_inv_glm",140616.137194404,0.0140485763549805
"Level2_a_glm",182297.287829727,0.0241079330444336
"Level2_a_oinv_glm",146470.984180153,0.0158953666687012
"Level2_a_inv_glm",138701.105772872,0.0111043453216553
"Level2_b_glm",165046.041761183,0.0109639167785645
"Level2_b_oinv_glm",136873.899640056,0.0244061946868896
"Level2_b_inv_glm",131975.40990741,0.0158877372741699
"Level2_c_glm",161419.228280464,0.0194125175476074
"Level2_c_oinv_glm",135481.463975319,0.034904956817627
"Level2_c_inv_glm",131477.175178763,0.0180635452270508
"Level3_a_glmer",106428.546771813,1.67517995834351
"Level3_a_oinv_glmer",94756.0397719396,3.62517380714417
"Level3_a_inv_glmer",94485.4442651415,1.41184997558594
"Level3_b_glmer",86156.3649039052,6.24843406677246
"Level3_b_oinv_glmer",84031.8830372102,6.5886435508728
"Level3_b_inv_glmer",83498.2676097671,7.24715113639832
"Level3_c_oinv_glmer",77751.8747990498,22.47074842453
"Level4_a_glmer",89166.7243265946,1.4170298576355
"Level4_a_oinv_glmer",80898.7277881902,1.89317512512207
"Level4_a_inv_glmer",80367.5837427107,2.71115899085999
"Level4_b_glmer",63881.9466206617,15.6030738353729
"Level4_b_oinv_glmer",62667.8175782494,8.92377614974976
"Level4_b_inv_glmer",62491.2413437206,9.50269722938538
"Level4_c_glmer",57450.1677418904,36.6105697154999
"Level4_c_oinv_glmer",55808.8455666711,49.4470221996307
"Level4_c_inv_glmer",55787.8970334888,33.0289390087128
