"ModelName","ModelAIC","Time_to_Convergence"
"Level1_lm",13390.8789378687,0.00369763374328613
"Level2_a_lm",13359.8649576135,0.00130081176757812
"Level2_b_lm",13342.5233399983,0.00165224075317383
"Level2_c_lm",13344.3088389482,0.00197410583496094
"Level3_a_lmer",13365.6811780062,0.226619243621826
"Level3_b_lmer",13373.8264206332,0.430840492248535
"Level3_c_lmer",13425.2096097578,0.953907012939453
"Level4_a_lmer",13310.3138481926,0.178038835525513
"Level4_b_lmer",13256.5856015885,0.298951625823975
"Level4_c_lmer",13332.5026302085,0.76792311668396
