"ModelName","ModelAIC","Time_to_Convergence"
"Level1_lm",23293.7900339755,0.0037386417388916
"Level2_a_lm",23183.6436225768,0.00137686729431152
"Level2_b_lm",23175.7921581067,0.00174403190612793
"Level2_c_lm",23142.2927094792,0.0021052360534668
"Level3_a_lmer",21249.2483309113,0.356950521469116
"Level3_b_lmer",21253.4944374675,0.359081745147705
"Level3_c_lmer",20822.6634804188,0.86422324180603
"Level4_a_lmer",20317.5955704036,0.2380690574646
"Level4_b_lmer",19713.1673617133,0.481984376907349
"Level4_c_lmer",19335.0348203448,0.908527612686157
