"ModelName","ModelAIC","Time_to_Convergence"
"Level1_glm",134000.66433511,0.0217216014862061
"Level1_oinv_glm",110918.419192606,0.0133752822875977
"Level1_inv_glm",106185.623194448,0.0159275531768799
"Level2_a_glm",129042.473292055,0.00721549987792969
"Level2_a_oinv_glm",110629.50899231,0.0107884407043457
"Level2_a_inv_glm",105527.038926866,0.0084373950958252
"Level2_b_glm",117779.527290039,0.012645959854126
"Level2_b_oinv_glm",103018.582196699,0.0117983818054199
"Level2_b_inv_glm",99326.1919962225,0.010873556137085
"Level2_c_glm",115975.436141587,0.0160696506500244
"Level2_c_oinv_glm",102193.599518789,0.0181992053985596
"Level2_c_inv_glm",99091.7998750262,0.012531042098999
"Level3_a_glmer",65799.2731276229,1.54623866081238
"Level3_a_oinv_glmer",59510.1976205767,1.44838070869446
"Level3_a_inv_glmer",59110.64016477,2.77840328216553
"Level3_b_glmer",43157.6628319224,37.3408393859863
"Level3_b_oinv_glmer",43691.6295333392,6.14394474029541
"Level3_b_inv_glmer",42876.6958585569,44.583637714386
"Level4_a_glmer",56787.0360125188,3.03815746307373
"Level4_a_oinv_glmer",52371.9747141635,2.62147879600525
"Level4_a_inv_glmer",52056.6268868103,4.05825543403625
"Level4_b_glmer",29444.5085383036,58.7138955593109
"Level4_b_oinv_glmer",29954.0659709885,11.3436000347137
